from,to,strength,initial
Lyssavirus,Sus scrofa,1.6533826105893057,0.17553794992175273
Flavivirus,Felis catus,1.1520737815046571,0.08625223563603845
Alphacoronavirus,Bos taurus,1.078520020991823,0.18545858484238767
Lyssavirus,Rattus norvegicus,1.0501673806809342,0.07633160071540354
Lyssavirus,Camelus dromedarius,1.0250957918560848,0.07137128325508607
Lyssavirus,Bubalus bubalis,1.0228837950850926,0.08625223563603845
Flavivirus,Pan troglodytes,0.9549279542082655,0.08625223563603845
Lyssavirus,Myodes glareolus,0.9502274399493862,0.07137128325508607
Alphavirus,Capra hircus,0.9464657383271775,0.09617287055667337
Alphacoronavirus,Equus caballus,0.8986591693009365,0.12593477531857813
Lyssavirus,Rattus rattus,0.8517826614406449,0.06145064833445115
Alphavirus,Eidolon helvum,0.835757013479643,0.06145064833445115
Alphacoronavirus,Ovis aries,0.8198408585777295,0.1308950927788956
Flavivirus,Vulpes velox,0.8190760969129911,0.05153001341381623
Alphavirus,Camelus dromedarius,0.8013677442076034,0.07137128325508607
Alphavirus,Bubalus bubalis,0.7997312693234696,0.08625223563603845
Flavivirus,Connochaetes taurinus,0.7878800980456149,0.06145064833445115
Flavivirus,Aepyceros melampus,0.7878800980456139,0.06145064833445115
Flavivirus,Micropteropus pusillus,0.7829319520742268,0.046569695953498774
Flavivirus,Myotis keenii,0.7810530354235884,0.03664906103286385
Flavivirus,Bison bison,0.7731145993175594,0.046569695953498774
Betacoronavirus,Ovis aries,0.7667631833768721,0.1308950927788956
Flavivirus,Crocuta crocuta,0.7509045163240012,0.046569695953498774
Lyssavirus,Sigmodon hispidus,0.7508673481542505,0.046569695953498774
Alphavirus,Myodes glareolus,0.7433063131332255,0.07137128325508607
Flavivirus,Odocoileus hemionus,0.7386406528718782,0.056490330874133694
Lyssavirus,Macaca fascicularis,0.7378512827715924,0.07137128325508607
Flavivirus,Urocyon cinereoargenteus,0.7364977954529917,0.04160937849318131
Flavivirus,Epomophorus gambianus,0.7320222956682195,0.04160937849318131
Flavivirus,Myotis daubentonii,0.7320222956682194,0.04160937849318131
