from,to,strength,initial
Lyssavirus,Sus scrofa,1.6533616910024347,0.14720266040688576
Flavivirus,Felis catus,1.1520495529570802,0.07577408897831434
Alphacoronavirus,Bos taurus,1.0785123386345492,0.15513916834339367
Lyssavirus,Rattus norvegicus,1.0501540350544432,0.0678375810418064
Lyssavirus,Camelus dromedarius,1.0250842868279941,0.06386932707355242
Lyssavirus,Bubalus bubalis,1.0228672814535753,0.07577408897831434
Flavivirus,Pan troglodytes,0.9549046828633657,0.07577408897831434
Lyssavirus,Myodes glareolus,0.9502164678962479,0.06386932707355242
Alphavirus,Capra hircus,0.9464598262928673,0.08371059691482227
Alphacoronavirus,Equus caballus,0.8986361970747261,0.10752012072434608
Lyssavirus,Rattus rattus,0.8517753248580497,0.05593281913704449
Alphavirus,Eidolon helvum,0.8357548838357031,0.05593281913704449
Alphacoronavirus,Ovis aries,0.8198205374719392,0.11148837469260003
Flavivirus,Vulpes velox,0.8190692665604685,0.04799631120053655
Alphavirus,Camelus dromedarius,0.8013648678633389,0.06386932707355242
Alphavirus,Bubalus bubalis,0.7997270642865797,0.07577408897831434
Flavivirus,Connochaetes taurinus,0.7878690120012827,0.05593281913704449
Flavivirus,Aepyceros melampus,0.787869012001282,0.05593281913704449
Flavivirus,Micropteropus pusillus,0.7829271472590514,0.044028057232282584
Flavivirus,Myotis keenii,0.7810520063383315,0.03609154929577465
Flavivirus,Bison bison,0.7731097540601106,0.044028057232282584
Betacoronavirus,Ovis aries,0.7667478105673624,0.11148837469260003
Flavivirus,Crocuta crocuta,0.7508997799564345,0.044028057232282584
Lyssavirus,Sigmodon hispidus,0.7508642312176143,0.044028057232282584
Alphavirus,Myodes glareolus,0.7433035723831205,0.06386932707355242
Flavivirus,Odocoileus hemionus,0.7386318391391067,0.05196456516879052
Lyssavirus,Macaca fascicularis,0.7378416605250036,0.06386932707355242
Flavivirus,Urocyon cinereoargenteus,0.7364949339165451,0.040059803264028616
Flavivirus,Myotis daubentonii,0.732019423796581,0.040059803264028616
Flavivirus,Epomophorus gambianus,0.7320194237965807,0.040059803264028616
Flavivirus,Pteropus giganteus,0.7320194237965807,0.040059803264028616
Alphavirus,Rangifer tarandus,0.72970971204637,0.05593281913704449
Flavivirus,Syncerus caffer,0.7253246835377256,0.05593281913704449
Lyssavirus,Odocoileus virginianus,0.7238444677859713,0.05990107310529846
Flavivirus,Canis mesomelas,0.7129433419968584,0.040059803264028616
Lyssavirus,Proechimys guyannensis,0.7120296041036713,0.044028057232282584
Flavivirus,Tragelaphus strepsiceros,0.7079710070081364,0.04799631120053655
Alphavirus,Cynopterus sphinx,0.7038223031795728,0.044028057232282584
Flavivirus,Hipposideros caffer,0.7026744645075041,0.040059803264028616
Lyssavirus,Lepus californicus,0.6962756283773877,0.040059803264028616
Lyssavirus,Sylvilagus audubonii,0.6962756283773875,0.040059803264028616
Lyssavirus,Didelphis marsupialis,0.6962756283773871,0.040059803264028616
Lyssavirus,Proechimys semispinosus,0.6962756283773871,0.040059803264028616
Lyssavirus,Tatera indica,0.6940726957203064,0.04799631120053655
Orthobunyavirus,Equus asinus,0.6908728033320134,0.0678375810418064
Flavivirus,Kobus ellipsiprymnus,0.6895979333809118,0.05593281913704449
Alphacoronavirus,Mus musculus,0.6829706561904832,0.08767885088307623
Orthobunyavirus,Rattus norvegicus,0.6809303284491048,0.0678375810418064
Flavivirus,Eptesicus serotinus,0.6713705501616796,0.03609154929577465
Flavivirus,Macaca mulatta,0.6670656802403027,0.07577408897831434
Lyssavirus,Pan troglodytes,0.6630759903651935,0.07577408897831434
Alphacoronavirus,Capra hircus,0.6553078128827314,0.08371059691482227
Lyssavirus,Chlorocebus aethiops,0.6537456396817785,0.05196456516879052
Orbivirus,Sus scrofa,0.6492168604367518,0.14720266040688576
Orthobunyavirus,Rousettus leschenaultii,0.6481661501639769,0.05593281913704449
Lyssavirus,Choloepus hoffmanni,0.6417876847364317,0.040059803264028616
Lyssavirus,Macropus giganteus,0.6337195479165888,0.044028057232282584
Alphavirus,Miniopterus schreibersii,0.6243769261551042,0.044028057232282584
Flavivirus,Taurotragus oryx,0.6194696778593816,0.04799631120053655
Betacoronavirus,Capra hircus,0.6132736288595476,0.08371059691482227
Alphavirus,Eonycteris spelaea,0.6126381607506052,0.044028057232282584
Flavivirus,Cervus elaphus,0.6088915394647519,0.05593281913704449
Flavivirus,Philander opossum,0.6069849032641216,0.03609154929577465
Lyssavirus,Microtus agrestis,0.6054700193597841,0.05196456516879052
Flavivirus,Eudorcas thomsonii,0.6027360963534003,0.044028057232282584
Lyssavirus,Peromyscus gossypinus,0.600285241575639,0.03609154929577465
Lyssavirus,Bradypus tridactylus,0.6002852415756388,0.03609154929577465
Lyssavirus,Lepus americanus,0.6002852415756387,0.03609154929577465
Alphavirus,Pteronotus parnellii,0.596847565623606,0.040059803264028616
Flavivirus,Alcelaphus buselaphus,0.5928297875072183,0.044028057232282584
Lyssavirus,Apodemus sylvaticus,0.5907017261680565,0.0678375810418064
Alphacoronavirus,Procyon lotor,0.5894534529978827,0.05593281913704449
Orthobunyavirus,Desmodus rotundus,0.5805538284033409,0.044028057232282584
Orthobunyavirus,Sturnira lilium,0.5805538284033407,0.044028057232282584
Orthobunyavirus,Glossophaga soricina,0.5805538284033404,0.044028057232282584
Alphavirus,Pipistrellus pipistrellus,0.5793216333614303,0.040059803264028616
Alphavirus,Rhinolophus ferrumequinum,0.5793216333614302,0.040059803264028616
Lyssavirus,Chaerephon pumilus,0.5782794351743499,0.03609154929577465
Lyssavirus,Carollia brevicauda,0.5782794351743494,0.03609154929577465
Lyssavirus,Arvicanthis niloticus,0.578250784185801,0.040059803264028616
Alphacoronavirus,Equus asinus,0.5772153772486807,0.0678375810418064
Orthobunyavirus,Artibeus phaeotis,0.5757123194933784,0.044028057232282584
