from,to,strength,initial
Lyssavirus,Sus scrofa,1.6534884363390228,0.3172143974960876
Flavivirus,Felis catus,1.1521951223893543,0.13864296892465905
Alphacoronavirus,Bos taurus,1.0785590746384754,0.3370556673373575
Lyssavirus,Rattus norvegicus,1.050234274009912,0.11880169908338922
Lyssavirus,Camelus dromedarius,1.0251534398743856,0.1088810641627543
Lyssavirus,Bubalus bubalis,1.0229666057069373,0.13864296892465905
Flavivirus,Pan troglodytes,0.9550444782483883,0.13864296892465905
Lyssavirus,Myodes glareolus,0.9502824107410945,0.1088810641627543
Alphavirus,Capra hircus,0.9464954200451108,0.1584842387659289
Alphacoronavirus,Equus caballus,0.8987751356926255,0.2180080482897384
Lyssavirus,Rattus rattus,0.8518193924258752,0.08903979432148446
Alphavirus,Eidolon helvum,0.8357676791074626,0.08903979432148446
Alphacoronavirus,Ovis aries,0.81994345615421,0.22792868321037335
Flavivirus,Vulpes velox,0.8191102622807579,0.06919852448021462
Alphavirus,Camelus dromedarius,0.8013821569912567,0.1088810641627543
Alphavirus,Bubalus bubalis,0.7997523584607307,0.13864296892465905
Flavivirus,Aepyceros melampus,0.7879355596515337,0.08903979432148446
Flavivirus,Connochaetes taurinus,0.7879355596515321,0.08903979432148446
Flavivirus,Micropteropus pusillus,0.7829559823270763,0.059277889559579695
Flavivirus,Myotis keenii,0.7810581811647559,0.039436619718309855
Flavivirus,Bison bison,0.773138832266598,0.059277889559579695
Betacoronavirus,Ovis aries,0.7668407921311282,0.22792868321037335
Flavivirus,Crocuta crocuta,0.7509282038822465,0.059277889559579695
Lyssavirus,Sigmodon hispidus,0.7508829412967034,0.059277889559579695
Alphavirus,Myodes glareolus,0.7433200450382835,0.1088810641627543
Flavivirus,Odocoileus hemionus,0.738684742474859,0.07911915940084954
Lyssavirus,Macaca fascicularis,0.7378994708834917,0.1088810641627543
Flavivirus,Urocyon cinereoargenteus,0.7365121053726209,0.049357254638944775
Flavivirus,Epomophorus gambianus,0.732036657124628,0.049357254638944775
Flavivirus,Pteropus giganteus,0.732036657124628,0.049357254638944775
Flavivirus,Myotis daubentonii,0.7320366571246274,0.049357254638944775
Alphavirus,Rangifer tarandus,0.7297214172111527,0.08903979432148446
Flavivirus,Syncerus caffer,0.7253899515423066,0.08903979432148446
Lyssavirus,Odocoileus virginianus,0.7238939955322093,0.09896042924211937
Flavivirus,Canis mesomelas,0.7129603224040497,0.049357254638944775
Lyssavirus,Proechimys guyannensis,0.7120478808944615,0.059277889559579695
Flavivirus,Tragelaphus strepsiceros,0.7080109810941172,0.06919852448021462
Alphavirus,Cynopterus sphinx,0.7038273615649024,0.059277889559579695
Flavivirus,Hipposideros caffer,0.7026916077452159,0.049357254638944775
Lyssavirus,Didelphis marsupialis,0.6962866094421802,0.049357254638944775
Lyssavirus,Lepus californicus,0.6962866094421801,0.049357254638944775
Lyssavirus,Proechimys semispinosus,0.6962866094421797,0.049357254638944775
Lyssavirus,Sylvilagus audubonii,0.6962866094421793,0.049357254638944775
Lyssavirus,Tatera indica,0.6940981589363054,0.06919852448021462
Orthobunyavirus,Equus asinus,0.6909370790560349,0.11880169908338922
Flavivirus,Kobus ellipsiprymnus,0.6896628879409734,0.08903979432148446
Alphacoronavirus,Mus musculus,0.6830348113895707,0.16840487368656382
Orthobunyavirus,Rattus norvegicus,0.6809939220596803,0.11880169908338922
Flavivirus,Eptesicus serotinus,0.6713765803381316,0.039436619718309855
Flavivirus,Macaca mulatta,0.664492557294266,0.13864296892465905
Lyssavirus,Pan troglodytes,0.6631570113614484,0.13864296892465905
Alphacoronavirus,Capra hircus,0.6553621166016201,0.1584842387659289
Lyssavirus,Chlorocebus aethiops,0.6537781419980374,0.07911915940084954
Orbivirus,Sus scrofa,0.649292102343697,0.3172143974960876
Orthobunyavirus,Rousettus leschenaultii,0.6482043937914644,0.08903979432148446
Lyssavirus,Choloepus hoffmanni,0.6417983672322443,0.049357254638944775
Lyssavirus,Macropus giganteus,0.6337371444393863,0.059277889559579695
Alphavirus,Miniopterus schreibersii,0.624412101472683,0.059277889559579695
Flavivirus,Taurotragus oryx,0.6196089699782218,0.06919852448021462
Betacoronavirus,Capra hircus,0.6133140791484513,0.1584842387659289
Alphavirus,Eonycteris spelaea,0.612673172395644,0.059277889559579695
Flavivirus,Cervus elaphus,0.6091134492212513,0.08903979432148446
Flavivirus,Philander opossum,0.6070061105944945,0.039436619718309855
Lyssavirus,Microtus agrestis,0.6055018926652354,0.07911915940084954
Flavivirus,Eudorcas thomsonii,0.6028346469097459,0.059277889559579695
Lyssavirus,Peromyscus gossypinus,0.6002889721179158,0.039436619718309855
Lyssavirus,Bradypus tridactylus,0.600288972117915,0.039436619718309855
Lyssavirus,Lepus americanus,0.6002889721179145,0.039436619718309855
Alphavirus,Pteronotus parnellii,0.596868541300772,0.049357254638944775
Flavivirus,Alcelaphus buselaphus,0.5929284288199841,0.059277889559579695
Lyssavirus,Apodemus sylvaticus,0.5907634581829991,0.11880169908338922
Alphacoronavirus,Procyon lotor,0.5894735219330499,0.08903979432148446
Orthobunyavirus,Glossophaga soricina,0.5805699270943301,0.059277889559579695
Orthobunyavirus,Sturnira lilium,0.5805699270943301,0.059277889559579695
Orthobunyavirus,Desmodus rotundus,0.5805699270943298,0.059277889559579695
Alphavirus,Pipistrellus pipistrellus,0.5793424046812552,0.049357254638944775
Alphavirus,Rhinolophus ferrumequinum,0.579342404681255,0.049357254638944775
Lyssavirus,Chaerephon pumilus,0.5782831612269378,0.039436619718309855
Lyssavirus,Carollia brevicauda,0.5782831612269377,0.039436619718309855
Lyssavirus,Arvicanthis niloticus,0.5782611411813458,0.049357254638944775
Alphacoronavirus,Equus asinus,0.5772462154105189,0.11880169908338922
Orthobunyavirus,Artibeus phaeotis,0.5757283982435747,0.059277889559579695
Alphacoronavirus,Sciurus carolinensis,0.5708844006780609,0.1088810641627543
Flavivirus,Elephas maximus,0.568903035971011,0.049357254638944775
Flavivirus,Vicugna vicugna,0.5671377569254695,0.06919852448021462
Alphavirus,Odocoileus virginianus,0.5664032959176964,0.09896042924211937
Lyssavirus,Hipposideros armiger,0.5662186600410348,0.049357254638944775
Vesiculovirus,Ovis aries,0.5635408712193075,0.22792868321037335
Lyssavirus,Peromyscus maniculatus,0.5610276785326803,0.049357254638944775
Flavivirus,Lasiurus cinereus,0.5569562617449371,0.029515984797674935
Flavivirus,Spermophilus tridecemlineatus,0.5569562617449371,0.029515984797674935
Alphacoronavirus,Bubalus bubalis,0.5538596566359282,0.13864296892465905
Flavivirus,Ovis dalli,0.553405695399229,0.039436619718309855
Betacoronavirus,Procyon lotor,0.5516765851389321,0.08903979432148446
Flavivirus,Saimiri sciureus,0.5507088001599904,0.06919852448021462
Lyssavirus,Connochaetes taurinus,0.5481395699313365,0.08903979432148446
Lyssavirus,Aepyceros melampus,0.5481395699313357,0.08903979432148446
Lyssavirus,Mastomys natalensis,0.5479299444545929,0.049357254638944775
Lyssavirus,Antilocapra americana,0.5477055664552901,0.059277889559579695
Lyssavirus,Macropus agilis,0.5461494946226996,0.039436619718309855
Lyssavirus,Pongo pygmaeus,0.5459810339445902,0.08903979432148446
Lyssavirus,Taphozous perforatus,0.5457164167528429,0.039436619718309855
Lyssavirus,Apodemus agrarius,0.5457164167528424,0.039436619718309855
Orthobunyavirus,Scotophilus kuhlii,0.5453739009137193,0.059277889559579695
Alphavirus,Tatera indica,0.5435542476260893,0.06919852448021462
Orthobunyavirus,Pteropus alecto,0.5405419381979898,0.059277889559579695
Lyssavirus,Peromyscus leucopus,0.5403462717117052,0.039436619718309855
Lyssavirus,Tamandua tetradactyla,0.5403462717117052,0.039436619718309855
Lyssavirus,Dasypus novemcinctus,0.5403462717117047,0.039436619718309855
Betacoronavirus,Equus asinus,0.5401740435987453,0.11880169908338922
Lyssavirus,Bison bison,0.5386266209246714,0.059277889559579695
Betacoronavirus,Artibeus jamaicensis,0.535604446631254,0.06919852448021462
Betacoronavirus,Sciurus carolinensis,0.5342807249453384,0.1088810641627543
Alphavirus,Vulpes vulpes,0.5265894104694726,0.049357254638944775
Lyssavirus,Pipistrellus abramus,0.5238446467108946,0.039436619718309855
Flavivirus,Lophuromys sikapusi,0.5215540058983568,0.029515984797674935
Flavivirus,Lycaon pictus,0.5210963074085309,0.039436619718309855
Orthobunyavirus,Felis catus,0.5197317689741849,0.13864296892465905
Orthobunyavirus,Miniopterus schreibersii,0.5192631041339776,0.059277889559579695
Lyssavirus,Bradypus variegatus,0.5183095357876938,0.049357254638944775
Orthobunyavirus,Eptesicus fuscus,0.5176550199651874,0.049357254638944775
Orthobunyavirus,Tadarida brasiliensis,0.5176550199651869,0.049357254638944775
Orthobunyavirus,Myotis lucifugus,0.5176550199651868,0.049357254638944775
Orthobunyavirus,Myotis nigricans,0.5176550199651866,0.049357254638944775
Lyssavirus,Erythrocebus patas,0.5149332578465233,0.049357254638944775
