from,to,strength,initial
Lyssavirus,Sus scrofa,1.65339385615071,0.19072490498546835
Flavivirus,Felis catus,1.1521089214496103,0.10143919069975407
Alphacoronavirus,Bos taurus,1.0785226039819418,0.19561535881958417
Lyssavirus,Rattus norvegicus,1.0501912694455895,0.09151855577911916
Lyssavirus,Camelus dromedarius,1.0251191076201338,0.08655823831880169
Lyssavirus,Bubalus bubalis,1.0229077583584985,0.10143919069975407
Flavivirus,Pan troglodytes,0.9549617031491792,0.10143919069975407
Lyssavirus,Myodes glareolus,0.9502496742423144,0.08655823831880169
Alphavirus,Capra hircus,0.9464702279356081,0.1056254191817572
Alphacoronavirus,Equus caballus,0.8986718711592069,0.13609154929577463
Lyssavirus,Rattus rattus,0.8518028707400647,0.07663760339816678
Alphavirus,Eidolon helvum,0.8357606644463305,0.07090319695953498
Alphacoronavirus,Ovis aries,0.8198515200753395,0.1410518667560921
Flavivirus,Vulpes velox,0.8191054623519464,0.06671696847753185
Alphavirus,Camelus dromedarius,0.8013713713712752,0.08082383188016991
Alphavirus,Bubalus bubalis,0.7997350664100492,0.09570478426112228
Flavivirus,Connochaetes taurinus,0.7879106213941258,0.07663760339816678
Flavivirus,Aepyceros melampus,0.7879106213941238,0.07663760339816678
Flavivirus,Micropteropus pusillus,0.7829606706884793,0.06175665101721439
Flavivirus,Myotis keenii,0.7810810764309235,0.05183601609657948
Flavivirus,Bison bison,0.7731435602586004,0.06175665101721439
Betacoronavirus,Ovis aries,0.7667699695082575,0.139442208808406
Flavivirus,Crocuta crocuta,0.750932825311509,0.06175665101721439
Lyssavirus,Sigmodon hispidus,0.7508859844228415,0.06175665101721439
Alphavirus,Myodes glareolus,0.7433097691711864,0.08082383188016991
Flavivirus,Odocoileus hemionus,0.7386702389859913,0.07167728593784932
Lyssavirus,Macaca fascicularis,0.737870777660291,0.08655823831880169
Flavivirus,Urocyon cinereoargenteus,0.7365258484889876,0.056796333556896936
Flavivirus,Epomophorus gambianus,0.7320504495055035,0.056796333556896936
Flavivirus,Myotis daubentonii,0.7320504495055031,0.056796333556896936
Flavivirus,Pteropus giganteus,0.7320504495055031,0.056796333556896936
Alphavirus,Rangifer tarandus,0.729715000609707,0.07090319695953498
Flavivirus,Syncerus caffer,0.7253654931624373,0.07663760339816678
Lyssavirus,Odocoileus virginianus,0.723871963289041,0.08159792085848423
Flavivirus,Canis mesomelas,0.712973912211607,0.056796333556896936
Lyssavirus,Proechimys guyannensis,0.7120508534527141,0.06175665101721439
Flavivirus,Tragelaphus strepsiceros,0.7080063011503112,0.06671696847753185
Alphavirus,Cynopterus sphinx,0.7038262811089717,0.0560222445785826
Flavivirus,Hipposideros caffer,0.7027053281568718,0.056796333556896936
Lyssavirus,Lepus californicus,0.6962954005222652,0.056796333556896936
Lyssavirus,Sylvilagus audubonii,0.6962954005222652,0.056796333556896936
Lyssavirus,Didelphis marsupialis,0.696295400522265,0.056796333556896936
Lyssavirus,Proechimys semispinosus,0.6962954005222647,0.056796333556896936
Lyssavirus,Tatera indica,0.6940951768160908,0.06671696847753185
Orthobunyavirus,Equus asinus,0.6908932404106924,0.08407388777107086
Flavivirus,Kobus ellipsiprymnus,0.6896385476270341,0.07663760339816678
Alphacoronavirus,Mus musculus,0.682989336518503,0.11128996199418734
Orthobunyavirus,Rattus norvegicus,0.6809505490718131,0.08407388777107086
Flavivirus,Eptesicus serotinus,0.671398937866005,0.05183601609657948
Flavivirus,Macaca mulatta,0.6642271115686997,0.10143919069975407
Lyssavirus,Pan troglodytes,0.6631090249989018,0.10143919069975407
Alphacoronavirus,Capra hircus,0.6553241755004696,0.10632964453386988
Lyssavirus,Chlorocebus aethiops,0.6537692288611862,0.07167728593784932
Orbivirus,Sus scrofa,0.6492319732073042,0.18177118265146433
Orthobunyavirus,Rousettus leschenaultii,0.6481814517302037,0.06919293539011849
Lyssavirus,Choloepus hoffmanni,0.6418069189426816,0.056796333556896936
Lyssavirus,Macropus giganteus,0.6337400061768959,0.06175665101721439
Alphavirus,Miniopterus schreibersii,0.6244045885315729,0.0560222445785826
Flavivirus,Taurotragus oryx,0.6195926627967069,0.06671696847753185
Betacoronavirus,Capra hircus,0.6132849485364507,0.10471998658618377
Alphavirus,Eonycteris spelaea,0.6126656944718357,0.0560222445785826
Flavivirus,Cervus elaphus,0.6090302959445786,0.07663760339816678
Flavivirus,Philander opossum,0.6070847403117233,0.05183601609657948
Lyssavirus,Microtus agrestis,0.6054931523952317,0.07167728593784932
Flavivirus,Eudorcas thomsonii,0.6028506694340557,0.06175665101721439
Lyssavirus,Peromyscus gossypinus,0.6003028067030394,0.05183601609657948
Lyssavirus,Lepus americanus,0.600302806703039,0.05183601609657948
Lyssavirus,Bradypus tridactylus,0.6003028067030389,0.05183601609657948
Alphavirus,Pteronotus parnellii,0.5968723887386166,0.05106192711826514
Flavivirus,Alcelaphus buselaphus,0.5929444660541319,0.06175665101721439
Lyssavirus,Apodemus sylvaticus,0.5907303878220409,0.09151855577911916
Alphacoronavirus,Procyon lotor,0.5894629430068057,0.07160742231164766
Orthobunyavirus,Desmodus rotundus,0.5805646821769281,0.05431198300916611
Orthobunyavirus,Sturnira lilium,0.580564682176928,0.05431198300916611
Orthobunyavirus,Glossophaga soricina,0.5805646821769278,0.05431198300916611
Alphavirus,Rhinolophus ferrumequinum,0.5793462145741143,0.05106192711826514
Alphavirus,Pipistrellus pipistrellus,0.5793462145741136,0.05106192711826514
Lyssavirus,Carollia brevicauda,0.5782969791626901,0.05183601609657948
Lyssavirus,Chaerephon pumilus,0.5782969791626899,0.05183601609657948
Lyssavirus,Arvicanthis niloticus,0.578269431885452,0.056796333556896936
Alphacoronavirus,Equus asinus,0.5772266372882566,0.08648837469260004
Orthobunyavirus,Artibeus phaeotis,0.5757231598220084,0.05431198300916611
Alphacoronavirus,Sciurus carolinensis,0.5708681006061053,0.08152805723228258
Flavivirus,Elephas maximus,0.5689499483289229,0.056796333556896936
Flavivirus,Vicugna vicugna,0.5671217153672279,0.06671696847753185
Alphavirus,Odocoileus virginianus,0.5663488958097882,0.07586351441985244
Lyssavirus,Hipposideros armiger,0.5662271017783749,0.056796333556896936
Vesiculovirus,Ovis aries,0.5635177391039065,0.13521685669572994
Lyssavirus,Peromyscus maniculatus,0.5610359570275467,0.056796333556896936
Flavivirus,Lasiurus cinereus,0.5570636643860404,0.046875698636262016
Flavivirus,Spermophilus tridecemlineatus,0.5570636643860395,0.046875698636262016
Alphacoronavirus,Bubalus bubalis,0.5538344992890007,0.09640900961323495
Flavivirus,Ovis dalli,0.553483496477021,0.05183601609657948
Betacoronavirus,Procyon lotor,0.5516681290868187,0.06999776436396155
Flavivirus,Saimiri sciureus,0.550692713269794,0.06671696847753185
Lyssavirus,Aepyceros melampus,0.5481250740320884,0.07663760339816678
Lyssavirus,Connochaetes taurinus,0.548125074032088,0.07663760339816678
Lyssavirus,Mastomys natalensis,0.5479381401399588,0.056796333556896936
Lyssavirus,Antilocapra americana,0.5477083261910066,0.06175665101721439
Lyssavirus,Macropus agilis,0.5461629996857207,0.05183601609657948
Lyssavirus,Pongo pygmaeus,0.5459667409850651,0.07663760339816678
Lyssavirus,Taphozous perforatus,0.5457299795360555,0.05183601609657948
Lyssavirus,Apodemus agrarius,0.5457299795360546,0.05183601609657948
Orthobunyavirus,Scotophilus kuhlii,0.5453688434534957,0.05431198300916611
Alphavirus,Tatera indica,0.5435356891980062,0.06098256203890007
Orthobunyavirus,Pteropus alecto,0.5405368864207633,0.05431198300916611
Lyssavirus,Peromyscus leucopus,0.5403597977688738,0.05183601609657948
Lyssavirus,Tamandua tetradactyla,0.5403597977688738,0.05183601609657948
Lyssavirus,Dasypus novemcinctus,0.5403597977688737,0.05183601609657948
Betacoronavirus,Equus asinus,0.5401590674458213,0.08487871674491393
Lyssavirus,Bison bison,0.5386293741175168,0.06175665101721439
Betacoronavirus,Artibeus jamaicensis,0.5356005283459204,0.06007712944332662
Betacoronavirus,Sciurus carolinensis,0.5342681175710089,0.07991839928459646
Alphavirus,Vulpes vulpes,0.5265931265520094,0.05106192711826514
Lyssavirus,Pipistrellus abramus,0.5238582497796208,0.05183601609657948
Flavivirus,Lophuromys sikapusi,0.5216607297610095,0.046875698636262016
Flavivirus,Lycaon pictus,0.5211732480597164,0.05183601609657948
Orthobunyavirus,Felis catus,0.5196840607294441,0.09399452269170577
Orthobunyavirus,Miniopterus schreibersii,0.5192581534522771,0.05431198300916611
Lyssavirus,Bradypus variegatus,0.5183176351515865,0.056796333556896936
Orthobunyavirus,Myotis nigricans,0.5176550144556549,0.04935166554884865
Orthobunyavirus,Tadarida brasiliensis,0.5176550144556546,0.04935166554884865
Orthobunyavirus,Eptesicus fuscus,0.5176550144556541,0.04935166554884865
Orthobunyavirus,Myotis lucifugus,0.5176550144556539,0.04935166554884865
Lyssavirus,Erythrocebus patas,0.5149413558401527,0.056796333556896936
Flavivirus,Epomops franqueti,0.5141380464627556,0.06175665101721439
Lyssavirus,Odocoileus hemionus,0.5141143070702995,0.07167728593784932
Flavivirus,Myocastor coypus,0.5132494132200326,0.05183601609657948
Flavivirus,Damaliscus lunatus,0.5109108434328652,0.056796333556896936
Orthobunyavirus,Eonycteris spelaea,0.5094151504296669,0.05431198300916611
Flavivirus,Rousettus amplexicaudatus,0.5089914787342924,0.05183601609657948
Alphavirus,Cynopterus brachyotis,0.5077617071000514,0.05106192711826514
Alphacoronavirus,Rangifer tarandus,0.5057785592261355,0.07160742231164766
Lyssavirus,Syncerus caffer,0.5046167982010256,0.07663760339816678
Flavivirus,Capreolus capreolus,0.504442825309051,0.06671696847753185
Flavivirus,Nyctereutes procyonoides,0.5027164600544024,0.05183601609657948
Orbivirus,Mus musculus,0.5019187373421155,0.10736642074670243
Alphavirus,Molossus molossus,0.4980383264774905,0.046101609657947684
Alphavirus,Tamias striatus,0.49803832647749013,0.046101609657947684
Alphacoronavirus,Phyllostomus hastatus,0.4976890537631979,0.05672646993069527
Orbivirus,Artibeus lituratus,0.4972487575102831,0.06768388106416275
Orthobunyavirus,Mephitis mephitis,0.4929549844783587,0.04935166554884865
Lyssavirus,Cercopithecus ascanius,0.4929477703492125,0.056796333556896936
Flavivirus,Myotis riparius,0.49039677863912073,0.046875698636262016
Flavivirus,Myotis velifer,0.4903967786391207,0.046875698636262016
Flavivirus,Myotis nattereri,0.4903967786391206,0.046875698636262016
Flavivirus,Myotis volans,0.4903967786391206,0.046875698636262016
Flavivirus,Cynomops abrasus,0.49039677863912057,0.046875698636262016
Flavivirus,Cynomops planirostris,0.49039677863912046,0.046875698636262016
Flavivirus,Myotis blythii,0.49039677863912046,0.046875698636262016
Flavivirus,Myotis myotis,0.49039677863912035,0.046875698636262016
Flavivirus,Pipistrellus subflavus,0.4903967786391201,0.046875698636262016
Lyssavirus,Hipposideros caffer,0.49022688082297095,0.056796333556896936
