from,to,strength,initial
Lyssavirus,Sus scrofa,1.6534473832998242,0.26258243907891793
Flavivirus,Felis catus,1.1521926628018189,0.13758243907891796
Alphacoronavirus,Bos taurus,1.0785407412142196,0.2664109657947686
Lyssavirus,Rattus norvegicus,1.0502419968418697,0.12369355019002905
Lyssavirus,Camelus dromedarius,1.0251655583000572,0.11674910574558463
Lyssavirus,Bubalus bubalis,1.022964925350712,0.13758243907891796
Flavivirus,Pan troglodytes,0.955042116678107,0.13758243907891796
Lyssavirus,Myodes glareolus,0.9502939649709541,0.11674910574558463
Alphavirus,Capra hircus,0.9464865950971161,0.14000251509054326
Alphacoronavirus,Equus caballus,0.8987309225629457,0.18307763246143527
Lyssavirus,Rattus rattus,0.851837822708111,0.10286021685669573
Alphavirus,Eidolon helvum,0.8357685895589693,0.09139140397943214
Alphacoronavirus,Ovis aries,0.8199031778178604,0.19002207690587972
Flavivirus,Vulpes velox,0.8191485239151618,0.08897132796780684
Alphavirus,Camelus dromedarius,0.801380771170048,0.10528029286832104
Alphavirus,Bubalus bubalis,0.7997473051928096,0.12611362620165437
Flavivirus,Connochaetes taurinus,0.7879633623948514,0.10286021685669573
Flavivirus,Aepyceros melampus,0.7879633623948513,0.10286021685669573
Flavivirus,Micropteropus pusillus,0.7829990250307801,0.08202688352336239
Flavivirus,Myotis keenii,0.7811111937794893,0.06813799463447351
Flavivirus,Bison bison,0.7731822398392075,0.08202688352336239
Betacoronavirus,Ovis aries,0.7668077465680554,0.1868027610105075
Flavivirus,Crocuta crocuta,0.7509706312214709,0.08202688352336239
Lyssavirus,Sigmodon hispidus,0.7509108901252378,0.08202688352336239
Alphavirus,Myodes glareolus,0.7433187247891809,0.10528029286832104
Flavivirus,Odocoileus hemionus,0.7387174915865918,0.09591577241225129
Lyssavirus,Macaca fascicularis,0.7379095952400619,0.11674910574558463
Flavivirus,Urocyon cinereoargenteus,0.7365596454985885,0.07508243907891794
Flavivirus,Epomophorus gambianus,0.732084366704655,0.07508243907891794
Flavivirus,Myotis daubentonii,0.7320843667046548,0.07508243907891794
Flavivirus,Pteropus giganteus,0.7320843667046547,0.07508243907891794
Alphavirus,Rangifer tarandus,0.7297222499612495,0.09139140397943214
Flavivirus,Syncerus caffer,0.7254172188089235,0.10286021685669573
