from,to,strength,initial
Lyssavirus,Sus scrofa,1.653352010997977,0.1340543259557344
Flavivirus,Felis catus,1.1520604394899925,0.08048289738430583
Alphacoronavirus,Bos taurus,1.078507253113023,0.13497652582159625
Lyssavirus,Rattus norvegicus,1.0501645499408918,0.07453051643192488
Lyssavirus,Camelus dromedarius,1.025096072672855,0.07155432595573441
Lyssavirus,Bubalus bubalis,1.0228747005863226,0.08048289738430583
Flavivirus,Pan troglodytes,0.9549151394893267,0.08048289738430583
Lyssavirus,Myodes glareolus,0.9502277077516613,0.07155432595573441
Alphavirus,Capra hircus,0.9464583996997626,0.080700871898055
Alphacoronavirus,Equus caballus,0.8986259190876049,0.09926224010731052
Lyssavirus,Rattus rattus,0.8517881831661986,0.06560194500335345
Alphavirus,Eidolon helvum,0.8357564023493077,0.05986753856472166
Alphacoronavirus,Ovis aries,0.8198108747190512,0.10223843058350099
Flavivirus,Vulpes velox,0.8190917947555131,0.0596495640509725
Alphavirus,Camelus dromedarius,0.8013656155468841,0.06581991951710262
Alphavirus,Bubalus bubalis,0.7997266529259327,0.07474849094567404
Flavivirus,Aepyceros melampus,0.7878884399147085,0.06560194500335345
Flavivirus,Connochaetes taurinus,0.7878884399147085,0.06560194500335345
Flavivirus,Micropteropus pusillus,0.7829510565379072,0.05667337357478203
Flavivirus,Myotis keenii,0.7810790171309375,0.050720992622401075
Flavivirus,Bison bison,0.7731338648694244,0.05667337357478203
Betacoronavirus,Ovis aries,0.7667392296916195,0.10062877263581488
Flavivirus,Crocuta crocuta,0.7509233483896237,0.05667337357478203
Lyssavirus,Sigmodon hispidus,0.7508797443653317,0.05667337357478203
Alphavirus,Myodes glareolus,0.7433042848292704,0.06581991951710262
Flavivirus,Odocoileus hemionus,0.7386526035606693,0.06262575452716299
Lyssavirus,Macaca fascicularis,0.7378515176115271,0.07155432595573441
Flavivirus,Urocyon cinereoargenteus,0.736520122629107,0.05369718309859155
Flavivirus,Epomophorus gambianus,0.7320447031478072,0.05369718309859155
Flavivirus,Pteropus giganteus,0.7320447031478067,0.05369718309859155
Flavivirus,Myotis daubentonii,0.732044703147806,0.05369718309859155
