from,to,strength,initial
Lyssavirus,Sus scrofa,1.6534572351131547,0.2757307735300693
Flavivirus,Felis catus,1.1521817437778532,0.13287363067292646
Alphacoronavirus,Bos taurus,1.078545949640306,0.28657360831656603
Lyssavirus,Rattus norvegicus,1.0502314315468595,0.11700061479991057
Lyssavirus,Camelus dromedarius,1.0251537216945523,0.10906410686340264
Lyssavirus,Bubalus bubalis,1.0229574665140122,0.13287363067292646
Flavivirus,Pan troglodytes,0.9550316326000703,0.13287363067292646
Lyssavirus,Myodes glareolus,0.9502826794461225,0.10906410686340264
Alphavirus,Capra hircus,0.9464880309993826,0.14301224010731053
Alphacoronavirus,Equus caballus,0.8987413507517454,0.19133551307847083
Lyssavirus,Rattus rattus,0.8518249262624221,0.09319109099038676
Alphavirus,Eidolon helvum,0.8357670663087582,0.08745668455175497
Alphacoronavirus,Ovis aries,0.8199129829382009,0.19927202101497876
Flavivirus,Vulpes velox,0.8191259706219256,0.07731807511737089
Alphavirus,Camelus dromedarius,0.8013800206507898,0.10332970042477084
Alphavirus,Bubalus bubalis,0.7997477185997509,0.12713922423429466
Flavivirus,Connochaetes taurinus,0.7879439094590676,0.09319109099038676
Flavivirus,Aepyceros melampus,0.7879439094590659,0.09319109099038676
Flavivirus,Micropteropus pusillus,0.7829750950425902,0.06938156718086295
Flavivirus,Myotis keenii,0.7810841655405045,0.05350855130784708
Flavivirus,Bison bison,0.7731581067134659,0.06938156718086295
Betacoronavirus,Ovis aries,0.7668164505692499,0.19766236306729265
Flavivirus,Crocuta crocuta,0.7509470435936999,0.06938156718086295
Lyssavirus,Sigmodon hispidus,0.7508953487706429,0.06938156718086295
Alphavirus,Myodes glareolus,0.7433180097725952,0.10332970042477084
Flavivirus,Odocoileus hemionus,0.7386967027038752,0.08525458305387883
Lyssavirus,Macaca fascicularis,0.737899706352043,0.10906410686340264
Flavivirus,Urocyon cinereoargenteus,0.7365344384130539,0.06144505924435502
Flavivirus,Pteropus giganteus,0.7320590701067491,0.06144505924435502
Flavivirus,Myotis daubentonii,0.732059070106749,0.06144505924435502
Flavivirus,Epomophorus gambianus,0.7320590701067488,0.06144505924435502
Alphavirus,Rangifer tarandus,0.7297208567010038,0.08745668455175497
Flavivirus,Syncerus caffer,0.7253981405868125,0.09319109099038676
Lyssavirus,Odocoileus virginianus,0.7238967474279779,0.1011275989268947
Flavivirus,Canis mesomelas,0.7129824061302745,0.06144505924435502
Lyssavirus,Proechimys guyannensis,0.7120600004814118,0.06938156718086295
Flavivirus,Tragelaphus strepsiceros,0.7080262960877095,0.07731807511737089
Alphavirus,Cynopterus sphinx,0.7038288120765958,0.06364716074223116
Flavivirus,Hipposideros caffer,0.7027139038354627,0.06144505924435502
Lyssavirus,Proechimys semispinosus,0.696300896346878,0.06144505924435502
Lyssavirus,Didelphis marsupialis,0.6963008963468773,0.06144505924435502
Lyssavirus,Sylvilagus audubonii,0.6963008963468772,0.06144505924435502
Lyssavirus,Lepus californicus,0.6963008963468769,0.06144505924435502
Lyssavirus,Tatera indica,0.6941079197557135,0.07731807511737089
Orthobunyavirus,Equus asinus,0.6909253908576637,0.10955594679186227
Flavivirus,Kobus ellipsiprymnus,0.689671037292921,0.09319109099038676
Alphacoronavirus,Mus musculus,0.6830214311252879,0.15165297339593115
Orthobunyavirus,Rattus norvegicus,0.680982358193096,0.10955594679186227
Flavivirus,Eptesicus serotinus,0.6714019542533751,0.05350855130784708
Flavivirus,Macaca mulatta,0.6644513723795223,0.13287363067292646
Lyssavirus,Pan troglodytes,0.6631495620890023,0.13287363067292646
Alphacoronavirus,Capra hircus,0.6553513431788583,0.1437164654594232
Lyssavirus,Chlorocebus aethiops,0.6537854936533396,0.08525458305387883
Orbivirus,Sus scrofa,0.6492695388880989,0.26677705119606526
Orthobunyavirus,Rousettus leschenaultii,0.6482005834997293,0.08574642298233846
Lyssavirus,Choloepus hoffmanni,0.6418122649674729,0.06144505924435502
Lyssavirus,Macropus giganteus,0.6337488118753355,0.06938156718086295
Alphavirus,Miniopterus schreibersii,0.6244221872512667,0.06364716074223116
Flavivirus,Taurotragus oryx,0.619662334125766,0.07731807511737089
Betacoronavirus,Capra hircus,0.6133051805644621,0.1421068075117371
Alphavirus,Eonycteris spelaea,0.6126832111146218,0.06364716074223116
Flavivirus,Cervus elaphus,0.6091412889775774,0.09319109099038676
Flavivirus,Philander opossum,0.6070953488673667,0.05350855130784708
Lyssavirus,Microtus agrestis,0.6055091015265223,0.08525458305387883
Flavivirus,Eudorcas thomsonii,0.6028999629893933,0.06938156718086295
Lyssavirus,Lepus americanus,0.6003046735955103,0.05350855130784708
Lyssavirus,Peromyscus gossypinus,0.6003046735955099,0.05350855130784708
Lyssavirus,Bradypus tridactylus,0.6003046735955098,0.05350855130784708
Alphavirus,Pteronotus parnellii,0.5968828833882266,0.055710652805723224
Flavivirus,Alcelaphus buselaphus,0.5929938047847899,0.06938156718086295
Lyssavirus,Apodemus sylvaticus,0.5907612734239729,0.11700061479991057
Alphacoronavirus,Procyon lotor,0.589472987952864,0.08816090990386764
Orthobunyavirus,Sturnira lilium,0.5805727365322232,0.06193689917281467
Orthobunyavirus,Desmodus rotundus,0.5805727365322229,0.06193689917281467
Orthobunyavirus,Glossophaga soricina,0.5805727365322226,0.06193689917281467
Alphavirus,Pipistrellus pipistrellus,0.579356606716313,0.055710652805723224
Alphavirus,Rhinolophus ferrumequinum,0.5793566067163117,0.055710652805723224
Lyssavirus,Carollia brevicauda,0.578298843808497,0.05350855130784708
Lyssavirus,Chaerephon pumilus,0.5782988438084968,0.05350855130784708
Lyssavirus,Arvicanthis niloticus,0.5782746145495924,0.06144505924435502
Alphacoronavirus,Equus asinus,0.5772420690660381,0.11197043371339145
Orthobunyavirus,Artibeus phaeotis,0.5757312042023102,0.06193689917281467
Alphacoronavirus,Sciurus carolinensis,0.5708815076629792,0.10403392577688352
Flavivirus,Elephas maximus,0.5689792684611643,0.06144505924435502
Flavivirus,Vicugna vicugna,0.5671902511770069,0.07731807511737089
Alphavirus,Odocoileus virginianus,0.5663948879386288,0.0953931924882629
Lyssavirus,Hipposideros armiger,0.5662323789662144,0.06144505924435502
Vesiculovirus,Ovis aries,0.5635322230898656,0.1934370109546166
Lyssavirus,Peromyscus maniculatus,0.5610411320477515,0.06144505924435502
Flavivirus,Spermophilus tridecemlineatus,0.5570555971006999,0.045572043371339147
Flavivirus,Lasiurus cinereus,0.5570555971006994,0.045572043371339147
Alphacoronavirus,Bubalus bubalis,0.5538532098680387,0.12784344958640734
Flavivirus,Ovis dalli,0.5534939930016513,0.05350855130784708
Betacoronavirus,Procyon lotor,0.5516754787592578,0.08655125195618153
Flavivirus,Saimiri sciureus,0.550761443481136,0.07731807511737089
Lyssavirus,Connochaetes taurinus,0.5481444241547254,0.09319109099038676
Lyssavirus,Aepyceros melampus,0.548144424154725,0.09319109099038676
Lyssavirus,Mastomys natalensis,0.5479432633419047,0.06144505924435502
Lyssavirus,Antilocapra americana,0.5477168177068208,0.06938156718086295
Lyssavirus,Macropus agilis,0.5461648220477116,0.05350855130784708
Lyssavirus,Pongo pygmaeus,0.545985820298077,0.09319109099038676
Lyssavirus,Apodemus agrarius,0.5457318097019483,0.05350855130784708
Lyssavirus,Taphozous perforatus,0.5457318097019483,0.05350855130784708
Orthobunyavirus,Scotophilus kuhlii,0.5453766098857222,0.06193689917281467
Alphavirus,Tatera indica,0.5435596372991192,0.0715836686787391
Orthobunyavirus,Pteropus alecto,0.5405446441261899,0.06193689917281467
Lyssavirus,Peromyscus leucopus,0.5403616229638873,0.05350855130784708
Lyssavirus,Dasypus novemcinctus,0.5403616229638869,0.05350855130784708
Lyssavirus,Tamandua tetradactyla,0.5403616229638867,0.05350855130784708
Betacoronavirus,Equus asinus,0.5401703105444497,0.11036077576570534
Lyssavirus,Bison bison,0.5386378454281577,0.06938156718086295
Betacoronavirus,Artibeus jamaicensis,0.5356050827413739,0.07067823608316566
Betacoronavirus,Sciurus carolinensis,0.5342779099374488,0.1024242678291974
Alphavirus,Vulpes vulpes,0.5266032626779835,0.055710652805723224
Lyssavirus,Pipistrellus abramus,0.5238600853815646,0.05350855130784708
Flavivirus,Lophuromys sikapusi,0.5216527136147613,0.045572043371339147
Flavivirus,Lycaon pictus,0.5211836281054413,0.05350855130784708
Orthobunyavirus,Felis catus,0.5197176294367691,0.12542896266487816
Orthobunyavirus,Miniopterus schreibersii,0.5192657558752188,0.06193689917281467
Lyssavirus,Bradypus variegatus,0.5183226980532227,0.06144505924435502
Orthobunyavirus,Myotis nigricans,0.5176595979360938,0.05400039123630673
Orthobunyavirus,Eptesicus fuscus,0.5176595979360935,0.05400039123630673
Orthobunyavirus,Myotis lucifugus,0.5176595979360933,0.05400039123630673
Orthobunyavirus,Tadarida brasiliensis,0.5176595979360933,0.05400039123630673
Lyssavirus,Erythrocebus patas,0.5149464178911867,0.06144505924435502
Flavivirus,Epomops franqueti,0.514186562329162,0.06938156718086295
Lyssavirus,Odocoileus hemionus,0.5141296196894466,0.08525458305387883
Flavivirus,Myocastor coypus,0.5132598132707191,0.05350855130784708
Flavivirus,Damaliscus lunatus,0.5109402332578368,0.06144505924435502
Orthobunyavirus,Eonycteris spelaea,0.5094226729840505,0.06193689917281467
Flavivirus,Rousettus amplexicaudatus,0.5090018635925514,0.05350855130784708
Alphavirus,Cynopterus brachyotis,0.5077717162383645,0.055710652805723224
Alphacoronavirus,Rangifer tarandus,0.5057871437485415,0.08816090990386764
Lyssavirus,Syncerus caffer,0.5046356610338806,0.09319109099038676
Flavivirus,Capreolus capreolus,0.5045116439000052,0.07731807511737089
Flavivirus,Nyctereutes procyonoides,0.5027268325186132,0.05350855130784708
Orbivirus,Mus musculus,0.5019275077004796,0.14772943214844625
Alphavirus,Molossus molossus,0.49804189364231366,0.04777414486921529
Alphavirus,Tamias striatus,0.4980418936423136,0.04777414486921529
Alphacoronavirus,Phyllostomus hastatus,0.49769288832510045,0.06435138609434383
Orbivirus,Artibeus lituratus,0.4972520930465094,0.08423736865638273
Orthobunyavirus,Mephitis mephitis,0.49295950185551723,0.05400039123630673
Lyssavirus,Cercopithecus ascanius,0.492952793383114,0.06144505924435502
Flavivirus,Myotis myotis,0.4903887755530053,0.045572043371339147
Flavivirus,Myotis velifer,0.49038877555300525,0.045572043371339147
Flavivirus,Cynomops planirostris,0.4903887755530052,0.045572043371339147
Flavivirus,Myotis riparius,0.4903887755530052,0.045572043371339147
Flavivirus,Pipistrellus subflavus,0.49038877555300514,0.045572043371339147
Flavivirus,Myotis blythii,0.4903887755530051,0.045572043371339147
Flavivirus,Cynomops abrasus,0.49038877555300503,0.045572043371339147
Flavivirus,Myotis volans,0.49038877555300503,0.045572043371339147
Flavivirus,Myotis nattereri,0.4903887755530046,0.045572043371339147
Lyssavirus,Hipposideros caffer,0.49023195799138347,0.06144505924435502
Lyssavirus,Microtus arvalis,0.4901988263339234,0.06144505924435502
Flavivirus,Acinonyx jubatus,0.49013776585154795,0.06144505924435502
Flavivirus,Lontra canadensis,0.4859734291336341,0.06144505924435502
Betacoronavirus,Molossus rufus,0.48576670707161695,0.06274172814665772
Flavivirus,Cephalophus leucogaster,0.48234155732205986,0.05350855130784708
Flavivirus,Cephalophus dorsalis,0.48234155732205974,0.05350855130784708
Orthobunyavirus,Pipistrellus pipistrellus,0.48178452808513866,0.05400039123630673
Orthobunyavirus,Rhinolophus ferrumequinum,0.48178452808513855,0.05400039123630673
Alphacoronavirus,Artibeus phaeotis,0.48149170552049086,0.06435138609434383
Alphavirus,Murina leucogaster,0.48059178095303806,0.04777414486921529
Flavivirus,Myotis dasycneme,0.47985027647512196,0.045572043371339147
Flavivirus,Eumops glaucinus,0.4798502764751219,0.045572043371339147
Flavivirus,Nyctalus noctula,0.4798502764751216,0.045572043371339147
Flavivirus,Nyctinomops laticaudatus,0.4798502764751214,0.045572043371339147
Flavivirus,Pipistrellus nathusii,0.47985027647512135,0.045572043371339147
Lyssavirus,Kobus ellipsiprymnus,0.4797534931611144,0.09319109099038676
Alphavirus,Canis latrans,0.4795621211692456,0.055710652805723224
Lyssavirus,Spermophilus beecheyi,0.47762077681942866,0.06144505924435502
Lyssavirus,Aotus trivirgatus,0.4767224654807413,0.07731807511737089
Orthobunyavirus,Marmota monax,0.47591088574347185,0.06193689917281467
Alphavirus,Pteronotus davyi,0.47473211244936114,0.04777414486921529
Alphavirus,Rhinolophus pusillus,0.47473211244936087,0.04777414486921529
Lyssavirus,Didelphis virginiana,0.4740068047511985,0.05350855130784708
Alphavirus,Microtus agrestis,0.47391462636783954,0.07952017661524703
Betacoronavirus,Rangifer tarandus,0.47353256485721895,0.08655125195618153
Orbivirus,Carollia perspicillata,0.47337641973458894,0.0763008607198748
Flavivirus,Oryzomys laticeps,0.4718622173308407,0.045572043371339147
Flavivirus,Zygodontomys brevicauda,0.47186221733084055,0.045572043371339147
Flavivirus,Heteromys anomalus,0.47186221733084044,0.045572043371339147
Flavivirus,Caluromys philander,0.4718622173308402,0.045572043371339147
Orthobunyavirus,Odocoileus virginianus,0.470842864010166,0.0936829309188464
Vesiculovirus,Mus musculus,0.46962440562971514,0.14581796333556898
Lyssavirus,Microtus oeconomus,0.4690750862450296,0.05350855130784708
Lyssavirus,Myodes rutilus,0.4690750862450296,0.05350855130784708
Flavivirus,Meriones hurrianae,0.4688255847923582,0.06144505924435502
Betacoronavirus,Phyllostomus hastatus,0.46589350481109126,0.06274172814665772
Alphacoronavirus,Rattus rattus,0.4625211282082746,0.08816090990386764
Alphavirus,Apodemus sylvaticus,0.4622858040592238,0.11126620836127878
Lyssavirus,Macaca mulatta,0.4613446777279518,0.13287363067292646
Alphavirus,Nycteris gambiensis,0.45562707186556023,0.04777414486921529
Lyssavirus,Alces alces,0.4555627764727664,0.06938156718086295
Betacoronavirus,Glossophaga soricina,0.4545430371186058,0.06274172814665772
Betacoronavirus,Sturnira lilium,0.4545430371186058,0.06274172814665772
Betacoronavirus,Desmodus rotundus,0.45454303711860555,0.06274172814665772
Alphavirus,Arvicanthis niloticus,0.4531184232612047,0.055710652805723224
Alphacoronavirus,Pteropus alecto,0.45210121237465417,0.06435138609434383
Vesiculovirus,Capra hircus,0.4512567762964891,0.13788145539906105
Flavivirus,Equus burchellii,0.4470333703363966,0.05350855130784708
Alphavirus,Vulpes velox,0.4470219484387914,0.0715836686787391
Flavivirus,Canis adustus,0.4453057387574026,0.045572043371339147
Lyssavirus,Alouatta caraya,0.4453015276515209,0.045572043371339147
Lyssavirus,Platyrrhinus helleri,0.44530152765152076,0.045572043371339147
Lyssavirus,Papio papio,0.4453015276515207,0.045572043371339147
Lyssavirus,Tolypeutes matacus,0.44530152765152065,0.045572043371339147
Lyssavirus,Dasyprocta leporina,0.44530152765152053,0.045572043371339147
Lyssavirus,Callithrix leucippe,0.4453015276515205,0.045572043371339147
Lyssavirus,Ammospermophilus nelsoni,0.44530152765152037,0.045572043371339147
Lyssavirus,Phyllostomus discolor,0.4453015276515202,0.045572043371339147
Orbivirus,Rousettus aegyptiacus,0.44498109809165637,0.08423736865638273
Alphacoronavirus,Myotis septentrionalis,0.4449518049677274,0.0564148781578359
