from,to,strength,initial
Lyssavirus,Sus scrofa,1.6533119731138537,0.07942236753856471
Flavivirus,Felis catus,1.1520579873679158,0.07942236753856471
Alphacoronavirus,Bos taurus,1.0784895802064407,0.06433182427900737
Lyssavirus,Rattus norvegicus,1.0501722395461202,0.07942236753856471
Lyssavirus,Camelus dromedarius,1.025108148101676,0.07942236753856471
Lyssavirus,Bubalus bubalis,1.0228730293483586,0.07942236753856471
Flavivirus,Pan troglodytes,0.9549127842280798,0.07942236753856471
Lyssavirus,Myodes glareolus,0.9502392232931043,0.07942236753856471
Alphavirus,Capra hircus,0.9464496496935082,0.06221914822266934
Alphacoronavirus,Equus caballus,0.8985826051776543,0.06433182427900737
Lyssavirus,Rattus rattus,0.8518065790683104,0.07942236753856471
Alphavirus,Eidolon helvum,0.8357573101791993,0.06221914822266934
Alphacoronavirus,Ovis aries,0.8197714307628678,0.06433182427900737
Flavivirus,Vulpes velox,0.81913004244806,0.07942236753856471
Alphavirus,Camelus dromedarius,0.8013642354402071,0.06221914822266934
Alphavirus,Bubalus bubalis,0.7997216307485582,0.06221914822266934
Flavivirus,Aepyceros melampus,0.7879162200503089,0.07942236753856471
Flavivirus,Connochaetes taurinus,0.7879162200503089,0.07942236753856471
Flavivirus,Micropteropus pusillus,0.7829940953900308,0.07942236753856471
Flavivirus,Myotis keenii,0.7811320520715889,0.07942236753856471
Flavivirus,Bison bison,0.773177268293181,0.07942236753856471
Betacoronavirus,Ovis aries,0.7667068720224515,0.05950285043594902
Flavivirus,Crocuta crocuta,0.7509657721575782,0.07942236753856471
Lyssavirus,Sigmodon hispidus,0.7509076879614753,0.07942236753856471
Alphavirus,Myodes glareolus,0.7433029697602219,0.06221914822266934
Flavivirus,Odocoileus hemionus,0.7386853334792285,0.07942236753856471
Lyssavirus,Macaca fascicularis,0.7378616150150645,0.07942236753856471
Flavivirus,Urocyon cinereoargenteus,0.7365676698368494,0.07942236753856471
Flavivirus,Pteropus giganteus,0.7320924193785683,0.07942236753856471
Flavivirus,Myotis daubentonii,0.7320924193785673,0.07942236753856471
Flavivirus,Epomophorus gambianus,0.7320924193785668,0.07942236753856471
Alphavirus,Rangifer tarandus,0.7297119319469669,0.06221914822266934
Flavivirus,Syncerus caffer,0.7253709841211726,0.07942236753856471
Lyssavirus,Odocoileus virginianus,0.7238692044640058,0.07942236753856471
Flavivirus,Canis mesomelas,0.7130152648246257,0.07942236753856471
Lyssavirus,Proechimys guyannensis,0.7120720529320957,0.07942236753856471
Flavivirus,Tragelaphus strepsiceros,0.7080302657820355,0.07942236753856471
Alphavirus,Cynopterus sphinx,0.7038283379447317,0.06221914822266934
Flavivirus,Hipposideros caffer,0.7027470797559554,0.07942236753856471
Lyssavirus,Proechimys semispinosus,0.6963221657207705,0.07942236753856471
Lyssavirus,Lepus californicus,0.6963221657207703,0.07942236753856471
Lyssavirus,Didelphis marsupialis,0.6963221657207702,0.07942236753856471
Lyssavirus,Sylvilagus audubonii,0.6963221657207702,0.07942236753856471
Lyssavirus,Tatera indica,0.6941104502682147,0.07942236753856471
Orthobunyavirus,Equus asinus,0.6908592934797537,0.05708836351441985
Flavivirus,Kobus ellipsiprymnus,0.6896440121429501,0.07942236753856471
Alphacoronavirus,Mus musculus,0.6829522524828299,0.06433182427900737
Orthobunyavirus,Rattus norvegicus,0.6809169614632843,0.05708836351441985
Flavivirus,Eptesicus serotinus,0.668720282870153,0.07942236753856471
Flavivirus,Macaca mulatta,0.6670732775124281,0.07942236753856471
Lyssavirus,Pan troglodytes,0.6630806828348957,0.07942236753856471
Alphacoronavirus,Capra hircus,0.6552938382216926,0.06433182427900737
Lyssavirus,Chlorocebus aethiops,0.6537785052422521,0.07942236753856471
Orbivirus,Sus scrofa,0.6491759609236761,0.052561200536552645
Orthobunyavirus,Rousettus leschenaultii,0.648167482767348,0.05708836351441985
Lyssavirus,Choloepus hoffmanni,0.641832953475053,0.07942236753856471
Lyssavirus,Macropus giganteus,0.6337604138465042,0.07942236753856471
Alphavirus,Miniopterus schreibersii,0.6244188905343312,0.06221914822266934
Flavivirus,Taurotragus oryx,0.6196761661108193,0.07942236753856471
Betacoronavirus,Capra hircus,0.6132606298871005,0.05950285043594902
Alphavirus,Eonycteris spelaea,0.6126799297863207,0.06221914822266934
Flavivirus,Cervus elaphus,0.6090489645202736,0.07942236753856471
Flavivirus,Philander opossum,0.6072597863869255,0.07942236753856471
Lyssavirus,Microtus agrestis,0.6055022488585056,0.07942236753856471
Flavivirus,Eudorcas thomsonii,0.6029648902664511,0.07942236753856471
Lyssavirus,Peromyscus gossypinus,0.6003336222492457,0.07942236753856471
Lyssavirus,Bradypus tridactylus,0.6003336222492455,0.07942236753856471
Lyssavirus,Lepus americanus,0.6003336222492455,0.07942236753856471
