from,to,strength,initial
Lyssavirus,Sus scrofa,1.6534262129658028,0.23424714956405096
Flavivirus,Felis catus,1.15216836925966,0.12710429242119384
Alphacoronavirus,Bos taurus,1.0785329450289718,0.23609154929577464
Lyssavirus,Rattus norvegicus,1.0502285895854448,0.11519953051643192
Lyssavirus,Camelus dromedarius,1.0251540035196574,0.10924714956405096
Lyssavirus,Bubalus bubalis,1.0229483322960695,0.12710429242119384
Flavivirus,Pan troglodytes,0.955018790418514,0.12710429242119384
Lyssavirus,Myodes glareolus,0.9502829481555969,0.10924714956405096
Alphavirus,Capra hircus,0.9464806545735763,0.12754024144869214
Alphacoronavirus,Equus caballus,0.8987077219853623,0.16466297786720321
Lyssavirus,Rattus rattus,0.8518304619368448,0.09734238765928907
Alphavirus,Eidolon helvum,0.8357664536062566,0.08587357478202548
Alphacoronavirus,Ovis aries,0.8198826555291944,0.17061535881958415
Flavivirus,Vulpes velox,0.8191416838444221,0.08543762575452715
Alphavirus,Camelus dromedarius,0.8013778854539669,0.09777833668678738
Alphavirus,Bubalus bubalis,0.7997430839319116,0.11563547954393025
Flavivirus,Connochaetes taurinus,0.7879522604801334,0.09734238765928907
Flavivirus,Aepyceros melampus,0.7879522604801331,0.09734238765928907
Flavivirus,Micropteropus pusillus,0.7829942143943455,0.07948524480214621
Flavivirus,Myotis keenii,0.7811101634922016,0.0675804828973843
Flavivirus,Bison bison,0.7731773883087577,0.07948524480214621
Betacoronavirus,Ovis aries,0.7667922310084458,0.16739604292421192
Flavivirus,Crocuta crocuta,0.7509658894584325,0.07948524480214621
Lyssavirus,Sigmodon hispidus,0.7509077652598292,0.07948524480214621
Alphavirus,Myodes glareolus,0.74331597554398,0.09777833668678738
Flavivirus,Odocoileus hemionus,0.7387086655560532,0.09139000670690811
Lyssavirus,Macaca fascicularis,0.737899941823693,0.10924714956405096
Flavivirus,Urocyon cinereoargenteus,0.7365567806944371,0.07353286384976526
Flavivirus,Pteropus giganteus,0.7320814917656273,0.07353286384976526
Flavivirus,Myotis daubentonii,0.7320814917656272,0.07353286384976526
Flavivirus,Epomophorus gambianus,0.732081491765627,0.07353286384976526
Alphavirus,Rangifer tarandus,0.7297202962707718,0.08587357478202548
Flavivirus,Syncerus caffer,0.7254063307759494,0.09734238765928907
Lyssavirus,Odocoileus virginianus,0.7238994997372424,0.10329476861167002
Flavivirus,Canis mesomelas,0.7130044980473501,0.07353286384976526
Lyssavirus,Proechimys guyannensis,0.7120721284328037,0.07948524480214621
Flavivirus,Tragelaphus strepsiceros,0.708041614795381,0.08543762575452715
Alphavirus,Cynopterus sphinx,0.7038302631334998,0.06801643192488263
Flavivirus,Hipposideros caffer,0.7027362088693146,0.07353286384976526
Lyssavirus,Lepus californicus,0.6963151948643229,0.07353286384976526
Lyssavirus,Sylvilagus audubonii,0.6963151948643229,0.07353286384976526
Lyssavirus,Didelphis marsupialis,0.6963151948643226,0.07353286384976526
Lyssavirus,Proechimys semispinosus,0.6963151948643226,0.07353286384976526
Lyssavirus,Tatera indica,0.6941176858701944,0.08543762575452715
Orthobunyavirus,Equus asinus,0.6909137148904911,0.10031019450033533
Flavivirus,Kobus ellipsiprymnus,0.6896791877025878,0.09734238765928907
Alphacoronavirus,Mus musculus,0.6830080861397568,0.13490107310529845
Orthobunyavirus,Rattus norvegicus,0.6809708062980183,0.10031019450033533
Flavivirus,Eptesicus serotinus,0.6686450309030285,0.0675804828973843
Flavivirus,Macaca mulatta,0.6644101953133287,0.12710429242119384
Lyssavirus,Pan troglodytes,0.6631421157088438,0.12710429242119384
Alphacoronavirus,Capra hircus,0.655340593708949,0.1289486921529175
Lyssavirus,Chlorocebus aethiops,0.6537928482624419,0.09139000670690811
Orbivirus,Sus scrofa,0.6492471802499488,0.2163397048960429
Orthobunyavirus,Rousettus leschenaultii,0.6481967745251508,0.08245305164319248
Lyssavirus,Choloepus hoffmanni,0.6418261731896153,0.07353286384976526
Lyssavirus,Macropus giganteus,0.6337604865226368,0.07948524480214621
Alphavirus,Miniopterus schreibersii,0.6244322764288648,0.06801643192488263
Flavivirus,Taurotragus oryx,0.6197157101778367,0.08543762575452715
Betacoronavirus,Capra hircus,0.6132963038766697,0.12572937625754527
Alphavirus,Eonycteris spelaea,0.6126932531589169,0.06801643192488263
Flavivirus,Cervus elaphus,0.6091691319989208,0.09734238765928907
Flavivirus,Philander opossum,0.6071846263356196,0.0675804828973843
Lyssavirus,Microtus agrestis,0.6055163130931758,0.09139000670690811
Flavivirus,Eudorcas thomsonii,0.6029652969084981,0.07948524480214621
Lyssavirus,Peromyscus gossypinus,0.6003203880265906,0.0675804828973843
Lyssavirus,Lepus americanus,0.6003203880265904,0.0675804828973843
Lyssavirus,Bradypus tridactylus,0.6003203880265902,0.0675804828973843
Alphavirus,Pteronotus parnellii,0.596897232314314,0.06206405097250167
Flavivirus,Alcelaphus buselaphus,0.5930591983941516,0.07948524480214621
Lyssavirus,Apodemus sylvaticus,0.590759088897296,0.11519953051643192
Alphacoronavirus,Procyon lotor,0.589472454039107,0.08728202548625083
Orthobunyavirus,Desmodus rotundus,0.5805755466901852,0.06459590878604962
Orthobunyavirus,Sturnira lilium,0.5805755466901847,0.06459590878604962
Orthobunyavirus,Glossophaga soricina,0.5805755466901846,0.06459590878604962
Alphavirus,Rhinolophus ferrumequinum,0.5793708152608065,0.06206405097250167
Alphavirus,Pipistrellus pipistrellus,0.5793708152608061,0.06206405097250167
Lyssavirus,Carollia brevicauda,0.5783145393292408,0.0675804828973843
Lyssavirus,Chaerephon pumilus,0.5783145393292408,0.0675804828973843
Lyssavirus,Arvicanthis niloticus,0.5782880970710969,0.07353286384976526
Alphacoronavirus,Equus asinus,0.5772379266918652,0.10513916834339368
Orthobunyavirus,Artibeus phaeotis,0.5757340108804581,0.06459590878604962
Alphacoronavirus,Sciurus carolinensis,0.5708786166034694,0.09918678739101273
Flavivirus,Elephas maximus,0.5690555235633773,0.07353286384976526
Flavivirus,Vicugna vicugna,0.5672427561252491,0.08543762575452715
Alphavirus,Odocoileus virginianus,0.5663864821848046,0.09182595573440644
Lyssavirus,Hipposideros armiger,0.5662461077847215,0.07353286384976526
Vesiculovirus,Ovis aries,0.5635236251297976,0.1589453386988598
Lyssavirus,Peromyscus maniculatus,0.5610545946416869,0.07353286384976526
Flavivirus,Spermophilus tridecemlineatus,0.5571549749319797,0.06162810194500336
Flavivirus,Lasiurus cinereus,0.5571549749319795,0.06162810194500336
Alphacoronavirus,Bubalus bubalis,0.5538467726429932,0.1170439302481556
Flavivirus,Ovis dalli,0.5535823254699512,0.0675804828973843
Betacoronavirus,Procyon lotor,0.5516743727664921,0.0840627095908786
Flavivirus,Saimiri sciureus,0.5508140986410817,0.08543762575452715
Lyssavirus,Connochaetes taurinus,0.5481492794447238,0.09734238765928907
Lyssavirus,Aepyceros melampus,0.548149279444723,0.09734238765928907
Lyssavirus,Mastomys natalensis,0.5479565909431025,0.07353286384976526
Lyssavirus,Antilocapra americana,0.5477280750688733,0.07948524480214621
Lyssavirus,Macropus agilis,0.5461801610492885,0.0675804828973843
Lyssavirus,Pongo pygmaeus,0.545990607747508,0.09734238765928907
Lyssavirus,Taphozous perforatus,0.5457472145327389,0.0675804828973843
Lyssavirus,Apodemus agrarius,0.5457472145327386,0.0675804828973843
