from,to,strength,initial
Lyssavirus,Sus scrofa,1.6534360262730206,0.2473954840152023
Flavivirus,Felis catus,1.1521574562916983,0.12239548401520232
Alphacoronavirus,Bos taurus,1.0785381247539663,0.2562541918175721
Lyssavirus,Rattus norvegicus,1.0502180330783017,0.10850659512631343
Lyssavirus,Camelus dromedarius,1.0251421754119943,0.101562150681869
Lyssavirus,Bubalus bubalis,1.0229408808241331,0.12239548401520232
Flavivirus,Pan troglodytes,0.9550083114681895,0.12239548401520232
Lyssavirus,Myodes glareolus,0.9502716702802223,0.101562150681869
Alphavirus,Capra hircus,0.9464820885037108,0.1305499664654594
Alphacoronavirus,Equus caballus,0.8987181169034796,0.17292085848423874
Lyssavirus,Rattus rattus,0.8518175711873596,0.0876732617929801
Alphavirus,Eidolon helvum,0.8357649311891608,0.0819388553543483
Alphacoronavirus,Ovis aries,0.8198924288954599,0.1798653029286832
Flavivirus,Vulpes velox,0.8191191336112985,0.0737843729040912
Alphavirus,Camelus dromedarius,0.8013771354771665,0.0958277442432372
Alphavirus,Bubalus bubalis,0.7997434969180848,0.11666107757657053
Flavivirus,Connochaetes taurinus,0.7879328113090461,0.0876732617929801
Flavivirus,Aepyceros melampus,0.787932811309045,0.0876732617929801
Flavivirus,Micropteropus pusillus,0.7829702865060327,0.06683992845964677
Flavivirus,Myotis keenii,0.7810831358160156,0.05295103957075788
Flavivirus,Bison bison,0.7731532574442598,0.06683992845964677
Betacoronavirus,Ovis aries,0.7668009070483351,0.17825564498099708
Flavivirus,Crocuta crocuta,0.7509423037783214,0.06683992845964677
Lyssavirus,Sigmodon hispidus,0.7508922267520309,0.06683992845964677
Alphavirus,Myodes glareolus,0.7433152610192743,0.0958277442432372
Flavivirus,Odocoileus hemionus,0.7386878800455959,0.08072881734853565
Lyssavirus,Macaca fascicularis,0.7378900582745329,0.101562150681869
Flavivirus,Urocyon cinereoargenteus,0.7365315749534846,0.059895484015202324
Flavivirus,Pteropus giganteus,0.732056196430726,0.059895484015202324
Flavivirus,Myotis daubentonii,0.7320561964307258,0.059895484015202324
Flavivirus,Epomophorus gambianus,0.7320561964307253,0.059895484015202324
Alphavirus,Rangifer tarandus,0.7297189037026338,0.0819388553543483
Flavivirus,Syncerus caffer,0.7253872561050744,0.0876732617929801
Lyssavirus,Odocoileus virginianus,0.7238884823373043,0.09461770623742455
Flavivirus,Canis mesomelas,0.712979574689756,0.059895484015202324
Lyssavirus,Proechimys guyannensis,0.7120569509436555,0.06683992845964677
Flavivirus,Tragelaphus strepsiceros,0.7080196304089191,0.0737843729040912
Alphavirus,Cynopterus sphinx,0.7038279682365,0.06110552202101498
Flavivirus,Hipposideros caffer,0.7027110451292724,0.059895484015202324
Lyssavirus,Didelphis marsupialis,0.6962990642147499,0.059895484015202324
Lyssavirus,Lepus californicus,0.6962990642147497,0.059895484015202324
Lyssavirus,Sylvilagus audubonii,0.6962990642147496,0.059895484015202324
Lyssavirus,Proechimys semispinosus,0.6962990642147493,0.059895484015202324
Lyssavirus,Tatera indica,0.6941036711092587,0.0737843729040912
Orthobunyavirus,Equus asinus,0.690914663757587,0.10106192711826513
Flavivirus,Kobus ellipsiprymnus,0.6896602055508112,0.0876732617929801
Alphacoronavirus,Mus musculus,0.6830107102807186,0.13819863626201653
Orthobunyavirus,Rattus norvegicus,0.6809717450870311,0.10106192711826513
Flavivirus,Eptesicus serotinus,0.6714009487745807,0.05295103957075788
Flavivirus,Macaca mulatta,0.6643765932710758,0.12239548401520232
Lyssavirus,Pan troglodytes,0.6631360402714621,0.12239548401520232
Alphacoronavirus,Capra hircus,0.6553422703096489,0.13125419181757209
Lyssavirus,Chlorocebus aethiops,0.6537800704550643,0.08072881734853565
Orbivirus,Sus scrofa,0.6492569529349822,0.2384417616811983
Orthobunyavirus,Rousettus leschenaultii,0.6481942025553935,0.0802285937849318
Lyssavirus,Choloepus hoffmanni,0.641810482787114,0.059895484015202324
Lyssavirus,Macropus giganteus,0.6337458761872573,0.06683992845964677
Alphavirus,Miniopterus schreibersii,0.6244163198630583,0.06110552202101498
Flavivirus,Taurotragus oryx,0.619639108107914,0.0737843729040912
Betacoronavirus,Capra hircus,0.6132984239345115,0.12964453386988598
Alphavirus,Eonycteris spelaea,0.6126773711103114,0.06110552202101498
Flavivirus,Cervus elaphus,0.6091042855834553,0.0876732617929801
Flavivirus,Philander opossum,0.6070918126206811,0.05295103957075788
Lyssavirus,Microtus agrestis,0.6055037836835884,0.08072881734853565
Flavivirus,Eudorcas thomsonii,0.6028835306802494,0.06683992845964677
Lyssavirus,Bradypus tridactylus,0.6003040512776979,0.05295103957075788
Lyssavirus,Lepus americanus,0.6003040512776971,0.05295103957075788
Lyssavirus,Peromyscus gossypinus,0.6003040512776968,0.05295103957075788
Alphavirus,Pteronotus parnellii,0.5968793847653017,0.05416107757657053
Flavivirus,Alcelaphus buselaphus,0.5929773574295448,0.06683992845964677
Lyssavirus,Apodemus sylvaticus,0.5907509730982626,0.10850659512631343
Alphacoronavirus,Procyon lotor,0.5894696370250524,0.08264308070646098
Orthobunyavirus,Glossophaga soricina,0.5805700510900704,0.059395260451598486
Orthobunyavirus,Sturnira lilium,0.5805700510900703,0.059395260451598486
Orthobunyavirus,Desmodus rotundus,0.5805700510900696,0.059395260451598486
Alphavirus,Rhinolophus ferrumequinum,0.5793531422821017,0.05416107757657053
Alphavirus,Pipistrellus pipistrellus,0.5793531422821008,0.05416107757657053
Lyssavirus,Carollia brevicauda,0.5782982222395958,0.05295103957075788
Lyssavirus,Chaerephon pumilus,0.578298222239595,0.05295103957075788
Lyssavirus,Arvicanthis niloticus,0.5782728868446925,0.059895484015202324
Alphacoronavirus,Equus asinus,0.5772369190231142,0.10347641403979431
Orthobunyavirus,Artibeus phaeotis,0.5757285220857552,0.059395260451598486
Alphacoronavirus,Sciurus carolinensis,0.5708770339740689,0.09653196959534988
Flavivirus,Elephas maximus,0.568969494713224,0.059895484015202324
Flavivirus,Vicugna vicugna,0.5671674038941175,0.0737843729040912
Alphavirus,Odocoileus virginianus,0.566379549850799,0.08888329979879275
Lyssavirus,Hipposideros armiger,0.5662306197412597,0.059895484015202324
Vesiculovirus,Ovis aries,0.5635273793054335,0.17403029286832103
Lyssavirus,Peromyscus maniculatus,0.5610394068920547,0.059895484015202324
Flavivirus,Lasiurus cinereus,0.5570582861646765,0.04600659512631343
Flavivirus,Spermophilus tridecemlineatus,0.5570582861646765,0.04600659512631343
Alphacoronavirus,Bubalus bubalis,0.5538469640648306,0.1173653029286832
Flavivirus,Ovis dalli,0.5534904941054298,0.05295103957075788
Betacoronavirus,Procyon lotor,0.5516730269702702,0.08103342275877487
Flavivirus,Saimiri sciureus,0.5507385311814691,0.0737843729040912
Lyssavirus,Aepyceros melampus,0.5481379722406532,0.0876732617929801
Lyssavirus,Connochaetes taurinus,0.5481379722406532,0.0876732617929801
Lyssavirus,Mastomys natalensis,0.5479415554649543,0.059895484015202324
Lyssavirus,Antilocapra americana,0.5477139868159071,0.06683992845964677
Lyssavirus,Macropus agilis,0.5461642145755543,0.05295103957075788
Lyssavirus,Pongo pygmaeus,0.5459794586018896,0.0876732617929801
Lyssavirus,Taphozous perforatus,0.5457311996280121,0.05295103957075788
Lyssavirus,Apodemus agrarius,0.5457311996280115,0.05295103957075788
Orthobunyavirus,Scotophilus kuhlii,0.5453740204761568,0.059395260451598486
Alphavirus,Tatera indica,0.5435516525766062,0.06804996646545942
Orthobunyavirus,Pteropus alecto,0.5405420576260834,0.059395260451598486
Lyssavirus,Peromyscus leucopus,0.5403610145473576,0.05295103957075788
Lyssavirus,Tamandua tetradactyla,0.5403610145473575,0.05295103957075788
Lyssavirus,Dasypus novemcinctus,0.5403610145473574,0.05295103957075788
Betacoronavirus,Equus asinus,0.5401665584268501,0.1018667560921082
Lyssavirus,Bison bison,0.5386350212854927,0.06683992845964677
Betacoronavirus,Artibeus jamaicensis,0.5356035638627675,0.06714453386988598
Betacoronavirus,Sciurus carolinensis,0.5342746424266261,0.09492231164766377
Alphavirus,Vulpes vulpes,0.5265998836135544,0.05416107757657053
Lyssavirus,Pipistrellus abramus,0.523859473495558,0.05295103957075788
Flavivirus,Lophuromys sikapusi,0.521655385635356,0.04600659512631343
Flavivirus,Lycaon pictus,0.5211801680465479,0.05295103957075788
Orthobunyavirus,Felis catus,0.51970642934917,0.11495081600715402
Orthobunyavirus,Miniopterus schreibersii,0.5192632211710245,0.059395260451598486
Lyssavirus,Bradypus variegatus,0.5183210102856478,0.059895484015202324
Orthobunyavirus,Eptesicus fuscus,0.5176580699028746,0.05245081600715404
Orthobunyavirus,Myotis lucifugus,0.5176580699028744,0.05245081600715404
Orthobunyavirus,Myotis nigricans,0.5176580699028744,0.05245081600715404
Orthobunyavirus,Tadarida brasiliensis,0.517658069902874,0.05245081600715404
Lyssavirus,Erythrocebus patas,0.5149447304066593,0.059895484015202324
Flavivirus,Epomops franqueti,0.5141703893540878,0.06683992845964677
Lyssavirus,Odocoileus hemionus,0.5141245143170416,0.08072881734853565
Flavivirus,Myocastor coypus,0.5132563465399518,0.05295103957075788
Flavivirus,Damaliscus lunatus,0.5109304362995648,0.059895484015202324
Orthobunyavirus,Eonycteris spelaea,0.509420164921929,0.059395260451598486
Flavivirus,Rousettus amplexicaudatus,0.5089984019295356,0.05295103957075788
Alphavirus,Cynopterus brachyotis,0.507768379525872,0.05416107757657053
Alphacoronavirus,Rangifer tarandus,0.5057842802270757,0.08264308070646098
Lyssavirus,Syncerus caffer,0.5046293717266848,0.0876732617929801
Flavivirus,Capreolus capreolus,0.5044887026041789,0.0737843729040912
Flavivirus,Nyctereutes procyonoides,0.5027233749874858,0.05295103957075788
Orbivirus,Mus musculus,0.5019245777806703,0.13427509501453164
Alphavirus,Molossus molossus,0.4980407045445744,0.04721663313212608
Alphavirus,Tamias striatus,0.4980407045445736,0.04721663313212608
Alphacoronavirus,Phyllostomus hastatus,0.49769160972640153,0.06180974737312765
Orbivirus,Artibeus lituratus,0.4972509802087668,0.07871953945897607
Orthobunyavirus,Mephitis mephitis,0.4929579958649369,0.05245081600715404
Lyssavirus,Cercopithecus ascanius,0.4929511189104768,0.059895484015202324
Flavivirus,Myotis velifer,0.49039144322322736,0.04600659512631343
Flavivirus,Myotis myotis,0.49039144322322725,0.04600659512631343
Flavivirus,Myotis blythii,0.4903914432232272,0.04600659512631343
Flavivirus,Cynomops planirostris,0.49039144322322714,0.04600659512631343
Flavivirus,Myotis riparius,0.49039144322322714,0.04600659512631343
Flavivirus,Pipistrellus subflavus,0.4903914432232271,0.04600659512631343
Flavivirus,Myotis volans,0.49039144322322686,0.04600659512631343
Flavivirus,Myotis nattereri,0.49039144322322675,0.04600659512631343
Flavivirus,Cynomops abrasus,0.4903914432232267,0.04600659512631343
Lyssavirus,Hipposideros caffer,0.4902302654673863,0.059895484015202324
Lyssavirus,Microtus arvalis,0.4901971559088861,0.059895484015202324
Flavivirus,Acinonyx jubatus,0.4901280818277816,0.059895484015202324
Flavivirus,Lontra canadensis,0.4859637359366848,0.059895484015202324
Betacoronavirus,Molossus rufus,0.485765727817401,0.06020008942544154
Flavivirus,Cephalophus leucogaster,0.4823380936751594,0.05295103957075788
Flavivirus,Cephalophus dorsalis,0.48233809367515906,0.05295103957075788
Orthobunyavirus,Rhinolophus ferrumequinum,0.4817830473318991,0.05245081600715404
Orthobunyavirus,Pipistrellus pipistrellus,0.48178304733189903,0.05245081600715404
Alphacoronavirus,Artibeus phaeotis,0.4814904381457058,0.06180974737312765
Alphavirus,Murina leucogaster,0.48059060377654855,0.04721663313212608
Flavivirus,Myotis dasycneme,0.479852937524747,0.04600659512631343
Flavivirus,Nyctalus noctula,0.4798529375247466,0.04600659512631343
Flavivirus,Nyctinomops laticaudatus,0.4798529375247466,0.04600659512631343
Flavivirus,Pipistrellus nathusii,0.4798529375247466,0.04600659512631343
Flavivirus,Eumops glaucinus,0.4798529375247465,0.04600659512631343
Lyssavirus,Kobus ellipsiprymnus,0.47974723815378345,0.0876732617929801
Alphavirus,Canis latrans,0.47955881151057694,0.05416107757657053
Lyssavirus,Spermophilus beecheyi,0.4776191088515557,0.059895484015202324
Lyssavirus,Aotus trivirgatus,0.47671858610886997,0.0737843729040912
Orthobunyavirus,Marmota monax,0.47590843504637376,0.059395260451598486
Alphavirus,Pteronotus davyi,0.474730940848946,0.04721663313212608
Alphavirus,Rhinolophus pusillus,0.47473094084894546,0.04721663313212608
Lyssavirus,Didelphis virginiana,0.47400621384665964,0.05295103957075788
Alphavirus,Microtus agrestis,0.47390474163123825,0.07499441090990386
Betacoronavirus,Rangifer tarandus,0.47353047416506455,0.08103342275877487
Orbivirus,Carollia perspicillata,0.4733755965926372,0.07177509501453162
Flavivirus,Caluromys philander,0.4718648893066555,0.04600659512631343
Flavivirus,Oryzomys laticeps,0.4718648893066553,0.04600659512631343
Flavivirus,Zygodontomys brevicauda,0.4718648893066552,0.04600659512631343
Flavivirus,Heteromys anomalus,0.4718648893066551,0.04600659512631343
Orthobunyavirus,Odocoileus virginianus,0.4708362356833683,0.08717303822937625
Vesiculovirus,Mus musculus,0.4696222673504662,0.13236362620165437
Lyssavirus,Myodes rutilus,0.46907449643594595,0.05295103957075788
Lyssavirus,Microtus oeconomus,0.46907449643594573,0.05295103957075788
Flavivirus,Meriones hurrianae,0.4688158607983433,0.059895484015202324
Betacoronavirus,Phyllostomus hastatus,0.46589257953916513,0.06020008942544154
Alphacoronavirus,Rattus rattus,0.4625184724751088,0.08264308070646098
Alphavirus,Apodemus sylvaticus,0.46226663281401636,0.10277218868768163
Lyssavirus,Macaca mulatta,0.4612779240614464,0.12239548401520232
Alphavirus,Nycteris gambiensis,0.4556259090290436,0.04721663313212608
Lyssavirus,Alces alces,0.4555600399911853,0.06683992845964677
Betacoronavirus,Glossophaga soricina,0.45454211712307563,0.06020008942544154
Betacoronavirus,Desmodus rotundus,0.45454211712307524,0.06020008942544154
Betacoronavirus,Sturnira lilium,0.45454211712307524,0.06020008942544154
Alphavirus,Arvicanthis niloticus,0.4531151467794451,0.05416107757657053
Alphacoronavirus,Pteropus alecto,0.4520999987899787,0.06180974737312765
Vesiculovirus,Capra hircus,0.451254934969326,0.12541918175720992
Flavivirus,Equus burchellii,0.4470299208674099,0.05295103957075788
Alphavirus,Vulpes velox,0.4470143993135377,0.06804996646545942
Flavivirus,Canis adustus,0.4453083859694424,0.04600659512631343
Lyssavirus,Papio papio,0.4453019796044868,0.04600659512631343
Lyssavirus,Dasyprocta leporina,0.4453019796044866,0.04600659512631343
Lyssavirus,Platyrrhinus helleri,0.4453019796044866,0.04600659512631343
Lyssavirus,Phyllostomus discolor,0.44530197960448653,0.04600659512631343
Lyssavirus,Alouatta caraya,0.4453019796044865,0.04600659512631343
Lyssavirus,Callithrix leucippe,0.4453019796044865,0.04600659512631343
Lyssavirus,Tolypeutes matacus,0.4453019796044865,0.04600659512631343
Lyssavirus,Ammospermophilus nelsoni,0.4453019796044864,0.04600659512631343
Orbivirus,Rousettus aegyptiacus,0.4449801905425944,0.07871953945897607
Alphacoronavirus,Myotis septentrionalis,0.44495109698555685,0.054865302928683204
Alphacoronavirus,Sciurus niger,0.4449510969855568,0.054865302928683204
Flavivirus,Pipistrellus kuhlii,0.44404701085655274,0.05295103957075788
Alphavirus,Hipposideros armiger,0.4431062550646858,0.05416107757657053
Lyssavirus,Hipposideros pomona,0.44046326218954196,0.05295103957075788
Flavivirus,Nanger granti,0.4393948525939564,0.05295103957075788
Orthobunyavirus,Uroderma bilobatum,0.43821125703626035,0.05245081600715404
Flavivirus,Martes pennanti,0.43518749671646556,0.05295103957075788
Orbivirus,Procyon lotor,0.43422637022319105,0.07871953945897607
Betacoronavirus,Rattus rattus,0.43306424274663824,0.08103342275877487
Lyssavirus,Taurotragus oryx,0.43156860285138543,0.0737843729040912
Flavivirus,Oryx leucoryx,0.429718291754699,0.06683992845964677
Flavivirus,Canis simensis,0.429608884457108,0.05295103957075788
Alphavirus,Antilocapra americana,0.42914357879353543,0.06110552202101498
Alphavirus,Aepyceros melampus,0.42902055390845034,0.0819388553543483
Alphavirus,Connochaetes taurinus,0.42902055390845034,0.0819388553543483
Alphavirus,Taphozous perforatus,0.42755667827824106,0.04721663313212608
Alphavirus,Apodemus agrarius,0.42755667827824023,0.04721663313212608
Flavivirus,Felis silvestris,0.4275041571626845,0.059895484015202324
Alphavirus,Micropteropus pusillus,0.42749155454262316,0.06110552202101498
Betacoronavirus,Scotophilus kuhlii,0.4270585393242547,0.06020008942544154
Orthobunyavirus,Chlorocebus aethiops,0.42536821734439456,0.07328414934048737
Lyssavirus,Cervus elaphus,0.4238442888420331,0.0876732617929801
Lyssavirus,Philander opossum,0.4232659051752563,0.05295103957075788
Flavivirus,Myotis ricketti,0.4230564217517951,0.05295103957075788
Flavivirus,Rhinolophus sinicus,0.4230564217517948,0.05295103957075788
Flavivirus,Rhinolophus affinis,0.42305642175179464,0.05295103957075788
Orthobunyavirus,Cynopterus brachyotis,0.4222942475902775,0.05245081600715404
Flavivirus,Dama dama,0.42166812746638066,0.0737843729040912
Orbivirus,Artibeus jamaicensis,0.42132056078526425,0.06483065057008719
Lyssavirus,Cricetomys gambianus,0.4206289495721705,0.059895484015202324
Orbivirus,Sciurus carolinensis,0.42041139727282084,0.09260842834786497
Lyssavirus,Eudorcas thomsonii,0.4201424699926672,0.06683992845964677
Lyssavirus,Macaca sinica,0.41866474000499554,0.04600659512631343
Lyssavirus,Microtus gregalis,0.4186647400049955,0.04600659512631343
Lyssavirus,Lemniscomys striatus,0.41866474000499543,0.04600659512631343
Lyssavirus,Natalus tumidirostris,0.41866474000499543,0.04600659512631343
Lyssavirus,Anoura geoffroyi,0.4186647400049954,0.04600659512631343
Orthobunyavirus,Choloepus hoffmanni,0.4181292189433062,0.05245081600715404
Betacoronavirus,Sciurus niger,0.41658815789048387,0.053255644980997094
Betacoronavirus,Myotis septentrionalis,0.4165881578904833,0.053255644980997094
Vesiculovirus,Rousettus aegyptiacus,0.41657256148248895,0.0768080706460988
Alphacoronavirus,Pteronotus parnellii,0.4150141858820608,0.054865302928683204
Flavivirus,Giraffa camelopardalis,0.4146348548869096,0.06683992845964677
Lyssavirus,Alcelaphus buselaphus,0.4131457773522835,0.06683992845964677
Orthobunyavirus,Macropus giganteus,0.41285146301283315,0.059395260451598486
Alphacoronavirus,Mephitis mephitis,0.41193440411362026,0.054865302928683204
Alphavirus,Crocuta crocuta,0.4102227175967364,0.06110552202101498
Alphavirus,Pipistrellus abramus,0.41019960630091384,0.04721663313212608
Alphavirus,Pteropus scapulatus,0.4094541491409014,0.04721663313212608
Alphacoronavirus,Sigmodon hispidus,0.40818191308249346,0.06180974737312765
Betacoronavirus,Felis catus,0.40647322948567777,0.1157556449809971
Alphavirus,Bradypus variegatus,0.40621213663390504,0.05416107757657053
Betacoronavirus,Myotis nigricans,0.4052823706577994,0.053255644980997094
Betacoronavirus,Myotis lucifugus,0.405282370657799,0.053255644980997094
Betacoronavirus,Tadarida brasiliensis,0.4052823706577987,0.053255644980997094
Betacoronavirus,Eptesicus fuscus,0.40528237065779843,0.053255644980997094
Lyssavirus,Cercopithecus mona,0.40453630128643575,0.06683992845964677
Flavivirus,Papio ursinus,0.40370423021830765,0.0876732617929801
Alphavirus,Urocyon cinereoargenteus,0.40251102550428486,0.05416107757657053
Alphacoronavirus,Macaca fascicularis,0.400367004166901,0.09653196959534988
Alphavirus,Epomophorus gambianus,0.3998795628391517,0.05416107757657053
Alphavirus,Pteropus giganteus,0.3998795628391515,0.05416107757657053
Alphavirus,Myotis daubentonii,0.3998795628391513,0.05416107757657053
Orthobunyavirus,Murina leucogaster,0.3996771720840596,0.04550637156270959
Vesiculovirus,Eidolon helvum,0.3996537263006016,0.0768080706460988
Orbivirus,Rousettus leschenaultii,0.3991012270856727,0.07871953945897607
Orthobunyavirus,Canis latrans,0.3987773760162268,0.05245081600715404
Flavivirus,Ovis canadensis,0.3982086589502665,0.059895484015202324
Alphacoronavirus,Marmota monax,0.3976216655837638,0.06180974737312765
Flavivirus,Atelerix albiventris,0.3973776512846849,0.05295103957075788
Lyssavirus,Apodemus flavicollis,0.39708320086232274,0.06683992845964677
Lyssavirus,Hipposideros bicolor,0.3968590292497694,0.04600659512631343
Lyssavirus,Suncus murinus,0.39685902924976935,0.04600659512631343
Flavivirus,Philantomba monticola,0.3955071425065993,0.04600659512631343
Flavivirus,Macropus robustus,0.39550714250659896,0.04600659512631343
Lyssavirus,Vicugna vicugna,0.3953649655299146,0.0737843729040912
Orthobunyavirus,Pteronotus davyi,0.39487163968121647,0.04550637156270959
Orthobunyavirus,Rhinolophus pusillus,0.39487163968121614,0.04550637156270959
Flavivirus,Chaerephon plicatus,0.39468906228655853,0.04600659512631343
Flavivirus,Epomophorus labiatus,0.3946890622865579,0.04600659512631343
Orthobunyavirus,Microtus agrestis,0.3939853966531824,0.07328414934048737
Alphacoronavirus,Odocoileus virginianus,0.3928039133394926,0.08958752515090543
Vesiculovirus,Rattus norvegicus,0.3921544714867239,0.09764140397943213
Alphavirus,Canis mesomelas,0.38972266405896516,0.05416107757657053
Flavivirus,Cavia porcellus,0.389633542728197,0.0737843729040912
Lyssavirus,Vespertilio sinensis,0.38948172328152564,0.04600659512631343
Flavivirus,Lama glama,0.38907722736749534,0.05295103957075788
Flavivirus,Dasyprocta punctata,0.3872530791405173,0.04600659512631343
Flavivirus,Potos flavus,0.38725307914051693,0.04600659512631343
Alphacoronavirus,Proechimys guyannensis,0.3871928465605646,0.06180974737312765
Alphavirus,Tragelaphus strepsiceros,0.38642015492800036,0.06804996646545942
Lyssavirus,Ovis dalli,0.3859697995567822,0.05295103957075788
Flavivirus,Panthera leo,0.38590074748204173,0.0737843729040912
Betacoronavirus,Mephitis mephitis,0.38567061524507007,0.053255644980997094
Alphavirus,Microtus arvalis,0.38420439023873104,0.05416107757657053
Orthobunyavirus,Apodemus sylvaticus,0.38416180075081224,0.10106192711826513
Lyssavirus,Saimiri sciureus,0.38359115038827396,0.0737843729040912
Vesiculovirus,Camelus dromedarius,0.3829746782791686,0.0906969595349877
Betacoronavirus,Sigmodon hispidus,0.3822342664456515,0.06020008942544154
Orbivirus,Molossus rufus,0.38216613521547843,0.05788620612564274
Vesiculovirus,Bubalus bubalis,0.38168464755667963,0.11153029286832103
Orbivirus,Myodes glareolus,0.3794821486034696,0.09260842834786497
Orthobunyavirus,Nycteris gambiensis,0.3789926464260396,0.04550637156270959
Alphacoronavirus,Lepus californicus,0.37868961425062414,0.054865302928683204
Alphacoronavirus,Proechimys semispinosus,0.37868961425062414,0.054865302928683204
Alphacoronavirus,Sylvilagus audubonii,0.378689614250624,0.054865302928683204
Alphacoronavirus,Didelphis marsupialis,0.37868961425062386,0.054865302928683204
Flavivirus,Ichneumia albicauda,0.37860504538888834,0.04600659512631343
Alphacoronavirus,Tatera indica,0.37725823454601937,0.0687541918175721
Flavivirus,Oryctolagus cuniculus,0.37715395617716174,0.06683992845964677
Orthobunyavirus,Chaerephon pumilus,0.37668201548140207,0.04550637156270959
Orthobunyavirus,Carollia brevicauda,0.37668201548140173,0.04550637156270959
Alphavirus,Taphozous melanopogon,0.3766440872803399,0.04027218868768165
Alphavirus,Plecotus auritus,0.3766440872803398,0.04027218868768165
Alphavirus,Artibeus cinereus,0.3766440872803396,0.04027218868768165
Alphavirus,Barbastella barbastellus,0.3766440872803395,0.04027218868768165
Alphavirus,Mormoops megalophylla,0.3766440872803392,0.04027218868768165
Alphavirus,Myotis mystacinus,0.37664408728033916,0.04027218868768165
Flavivirus,Phoca vitulina,0.37654249604442325,0.059895484015202324
Alphavirus,Kobus ellipsiprymnus,0.37565356134022754,0.0819388553543483
Betacoronavirus,Macaca fascicularis,0.37489217617419957,0.09492231164766377
Flavivirus,Pteropus poliocephalus,0.3745701490149846,0.05295103957075788
Vesiculovirus,Rousettus leschenaultii,0.3737195818191663,0.0768080706460988
Alphavirus,Aotus trivirgatus,0.3734985340674288,0.06804996646545942
Flavivirus,Oryx gazella,0.3728230362046643,0.059895484015202324
Betacoronavirus,Marmota monax,0.37228924858807105,0.06020008942544154
Flavivirus,Hippotragus niger,0.3719975732766945,0.059895484015202324
Alphavirus,Didelphis virginiana,0.3715918069590893,0.04721663313212608
Lyssavirus,Gerbilliscus kempi,0.36994760102534646,0.05295103957075788
Orthobunyavirus,Hipposideros armiger,0.36848888718070727,0.05245081600715404
Betacoronavirus,Odocoileus virginianus,0.3678584908575867,0.08797786720321932
Alphavirus,Microtus oeconomus,0.3677144404994939,0.04721663313212608
Alphavirus,Myodes rutilus,0.3677144404994935,0.04721663313212608
Flavivirus,Redunca arundinum,0.36744894655483645,0.06683992845964677
Alphavirus,Eptesicus serotinus,0.36706044069440313,0.04721663313212608
