from,to,strength,initial
Lyssavirus,Sus scrofa,1.6535746167956673,0.4305555555555555
Flavivirus,Felis catus,1.1522924384983615,0.18055555555555555
Alphacoronavirus,Bos taurus,1.0774318110354324,0.4583333333333333
Lyssavirus,Rattus norvegicus,1.050287989411691,0.15277777777777776
Lyssavirus,Camelus dromedarius,1.02519970742111,0.1388888888888889
Lyssavirus,Bubalus bubalis,1.023033149896682,0.18055555555555555
Flavivirus,Pan troglodytes,0.9551379036677125,0.18055555555555555
Lyssavirus,Myodes glareolus,0.950326521607829,0.1388888888888889
Alphavirus,Capra hircus,0.9465193133709502,0.20833333333333331
Alphacoronavirus,Equus caballus,0.8988692556928672,0.29166666666666663
Lyssavirus,Rattus rattus,0.8518488354738,0.1111111111111111
Alphavirus,Eidolon helvum,0.8357762326436703,0.1111111111111111
Alphacoronavirus,Ovis aries,0.820026744884669,0.3055555555555555
Flavivirus,Vulpes velox,0.8191376110776535,0.08333333333333333
Alphavirus,Camelus dromedarius,0.8013937248562127,0.1388888888888889
Alphavirus,Bubalus bubalis,0.7997693075646852,0.18055555555555555
Flavivirus,Connochaetes taurinus,0.7879799672992249,0.1111111111111111
Flavivirus,Aepyceros melampus,0.7879799672992247,0.1111111111111111
Flavivirus,Micropteropus pusillus,0.7829752140056567,0.06944444444444445
Flavivirus,Myotis keenii,0.781062298136214,0.041666666666666664
Flavivirus,Bison bison,0.773158226684624,0.06944444444444445
Betacoronavirus,Ovis aries,0.7669037874456349,0.3055555555555555
Flavivirus,Crocuta crocuta,0.7509471608562961,0.06944444444444445
Lyssavirus,Sigmodon hispidus,0.7508954260130754,0.06944444444444445
Alphavirus,Myodes glareolus,0.7419306662272264,0.1388888888888889
Flavivirus,Odocoileus hemionus,0.738720039658968,0.09722222222222221
Lyssavirus,Macaca fascicularis,0.7379381150283509,0.1388888888888889
Flavivirus,Urocyon cinereoargenteus,0.7365235560073319,0.05555555555555555
Flavivirus,Myotis daubentonii,0.7320481488217816,0.05555555555555555
Flavivirus,Pteropus giganteus,0.7320481488217812,0.05555555555555555
Flavivirus,Epomophorus gambianus,0.7320481488217805,0.05555555555555555
Alphavirus,Rangifer tarandus,0.7297292400553684,0.1111111111111111
Flavivirus,Syncerus caffer,0.7254335036647449,0.1111111111111111
Lyssavirus,Odocoileus virginianus,0.7239270883508918,0.125
Flavivirus,Canis mesomelas,0.7129716453282284,0.05555555555555555
Lyssavirus,Proechimys guyannensis,0.7120600759302282,0.06944444444444445
Flavivirus,Tragelaphus strepsiceros,0.7080376443846269,0.08333333333333333
Flavivirus,Hipposideros caffer,0.7027030394700009,0.05555555555555555
Alphavirus,Cynopterus sphinx,0.7024636565344954,0.06944444444444445
Lyssavirus,Proechimys semispinosus,0.6962939339372756,0.05555555555555555
Lyssavirus,Sylvilagus audubonii,0.6962939339372755,0.05555555555555555
Lyssavirus,Didelphis marsupialis,0.6962939339372751,0.05555555555555555
Lyssavirus,Lepus californicus,0.696293933937275,0.05555555555555555
Lyssavirus,Tatera indica,0.6941151543384244,0.08333333333333333
Orthobunyavirus,Equus asinus,0.6909801362480332,0.15277777777777776
Flavivirus,Kobus ellipsiprymnus,0.6868713590262122,0.1111111111111111
Alphacoronavirus,Mus musculus,0.6830780376640564,0.2222222222222222
Orthobunyavirus,Rattus norvegicus,0.6810365201233634,0.15277777777777776
Flavivirus,Eptesicus serotinus,0.6713806007773102,0.041666666666666664
Flavivirus,Macaca mulatta,0.6647919939537849,0.18055555555555555
Lyssavirus,Pan troglodytes,0.6632112160162194,0.18055555555555555
Alphacoronavirus,Capra hircus,0.6553986608772804,0.20833333333333331
Lyssavirus,Chlorocebus aethiops,0.6537998421613913,0.09722222222222221
Orbivirus,Sus scrofa,0.6493435664277931,0.4305555555555555
Orthobunyavirus,Rousettus leschenaultii,0.6482299634807465,0.1111111111111111
Lyssavirus,Choloepus hoffmanni,0.6418054923121956,0.05555555555555555
Lyssavirus,Macropus giganteus,0.633748884506715,0.06944444444444445
Alphavirus,Miniopterus schreibersii,0.6244355746213169,0.06944444444444445
Flavivirus,Taurotragus oryx,0.6197018758955223,0.08333333333333333
Betacoronavirus,Capra hircus,0.6133413001500508,0.20833333333333331
Alphavirus,Eonycteris spelaea,0.6126965359307691,0.06944444444444445
Flavivirus,Cervus elaphus,0.6092615033216257,0.1111111111111111
Flavivirus,Philander opossum,0.6070202500257075,0.041666666666666664
Lyssavirus,Microtus agrestis,0.6055231707882024,0.09722222222222221
Flavivirus,Eudorcas thomsonii,0.6029003695204066,0.06944444444444445
Lyssavirus,Lepus americanus,0.6002914595485176,0.041666666666666664
Lyssavirus,Bradypus tridactylus,0.6002914595485175,0.041666666666666664
Lyssavirus,Peromyscus gossypinus,0.6002914595485175,0.041666666666666664
Alphavirus,Pteronotus parnellii,0.596882533192142,0.05555555555555555
Flavivirus,Alcelaphus buselaphus,0.5929942116878701,0.06944444444444445
Lyssavirus,Apodemus sylvaticus,0.5908047159245835,0.15277777777777776
Alphacoronavirus,Procyon lotor,0.5894869535443451,0.1111111111111111
Orthobunyavirus,Desmodus rotundus,0.5805806726912589,0.06944444444444445
Orthobunyavirus,Sturnira lilium,0.5805806726912585,0.06944444444444445
Orthobunyavirus,Glossophaga soricina,0.5805806726912579,0.06944444444444445
Alphavirus,Rhinolophus ferrumequinum,0.5793562599430653,0.05555555555555555
Alphavirus,Pipistrellus pipistrellus,0.5793562599430645,0.05555555555555555
Lyssavirus,Chaerephon pumilus,0.5782856456639586,0.041666666666666664
Lyssavirus,Carollia brevicauda,0.578285645663958,0.041666666666666664
Lyssavirus,Arvicanthis niloticus,0.578268048823758,0.05555555555555555
Alphacoronavirus,Equus asinus,0.5772668969965647,0.15277777777777776
