from,to,strength,initial
Lyssavirus,Sus scrofa,1.6533408514898713,0.11886737089201876
Flavivirus,Felis catus,1.1520253374009883,0.0652959423205902
Alphacoronavirus,Bos taurus,1.0785046983374313,0.12481975184439972
Lyssavirus,Rattus norvegicus,1.0501407003440295,0.059343561368209244
Lyssavirus,Camelus dromedarius,1.0250727899266534,0.05636737089201878
Lyssavirus,Bubalus bubalis,1.0228507838028722,0.0652959423205902
Flavivirus,Pan troglodytes,0.9548814224629107,0.0652959423205902
Lyssavirus,Myodes glareolus,0.9502055031493616,0.05636737089201878
Alphavirus,Capra hircus,0.9464539222805962,0.07124832327297115
Alphacoronavirus,Equus caballus,0.8986132977434388,0.08910546613011401
Lyssavirus,Rattus rattus,0.8517679914580254,0.05041498993963782
Alphavirus,Eidolon helvum,0.8357527553467093,0.05041498993963782
Alphacoronavirus,Ovis aries,0.8198002817275143,0.09208165660630448
Flavivirus,Vulpes velox,0.8190624371080967,0.044462608987256874
Alphavirus,Camelus dromedarius,0.8013619935758093,0.05636737089201878
Alphavirus,Bubalus bubalis,0.7997228634725134,0.0652959423205902
Flavivirus,Connochaetes taurinus,0.7878579280219581,0.05041498993963782
Flavivirus,Aepyceros melampus,0.7878579280219565,0.05041498993963782
Flavivirus,Micropteropus pusillus,0.7829223428531896,0.041486418511066395
Flavivirus,Myotis keenii,0.7810509772740437,0.03553403755868544
Flavivirus,Bison bison,0.7731049092442701,0.041486418511066395
Betacoronavirus,Ovis aries,0.7667324868426444,0.09208165660630448
Flavivirus,Crocuta crocuta,0.7508950439677807,0.041486418511066395
Lyssavirus,Sigmodon hispidus,0.7508611148429337,0.041486418511066395
Alphavirus,Myodes glareolus,0.7433008334965113,0.05636737089201878
Flavivirus,Odocoileus hemionus,0.7386230267877101,0.04743879946344735
Lyssavirus,Macaca fascicularis,0.7378320433493222,0.05636737089201878
Flavivirus,Urocyon cinereoargenteus,0.7364920725287094,0.038510228034875915
Flavivirus,Myotis daubentonii,0.7320165520642702,0.038510228034875915
Flavivirus,Pteropus giganteus,0.7320165520642701,0.038510228034875915
Flavivirus,Epomophorus gambianus,0.7320165520642692,0.038510228034875915
Alphavirus,Rangifer tarandus,0.7297077645523682,0.05041498993963782
Flavivirus,Syncerus caffer,0.7253138124106683,0.05041498993963782
Lyssavirus,Odocoileus virginianus,0.7238362259751739,0.0533911804158283
Flavivirus,Canis mesomelas,0.712940512390234,0.038510228034875915
Lyssavirus,Proechimys guyannensis,0.7120265598001675,0.041486418511066395
Flavivirus,Tragelaphus strepsiceros,0.7079643470562497,0.044462608987256874
Alphavirus,Cynopterus sphinx,0.7038214607568158,0.041486418511066395
Flavivirus,Hipposideros caffer,0.702671607805638,0.038510228034875915
Lyssavirus,Sylvilagus audubonii,0.6962737988599501,0.038510228034875915
Lyssavirus,Lepus californicus,0.6962737988599494,0.038510228034875915
