r,a2,a3,a4,case,top5,top10,best,worse,proportion
1,0.0,0.0,1.0,1,2,3,0.0,0.9523809523809523,0.65
1,0.0,0.07142857142857142,0.9285714285714286,2,2,3,0.0,0.875,0.65
1,0.0,0.14285714285714285,0.8571428571428571,3,1,3,0.0,0.9520958083832335,0.65
1,0.0,0.2857142857142857,0.7142857142857143,5,2,2,0.0,0.9461077844311377,0.65
1,0.0,0.35714285714285715,0.6428571428571429,6,2,2,0.0,0.8571428571428571,0.65
1,0.0,0.5,0.5,8,1,1,0.005952380952380952,0.7738095238095238,0.65
1,0.0,0.7142857142857143,0.2857142857142857,11,0,1,0.03571428571428571,0.9464285714285714,0.65
1,0.0,0.7857142857142857,0.21428571428571427,12,0,1,0.047619047619047616,0.9464285714285714,0.65
1,0.0,0.8571428571428571,0.14285714285714285,13,0,1,0.046511627906976744,0.9244186046511628,0.65
1,0.0,1.0,0.0,15,1,1,0.0,0.9244186046511628,0.65
1,0.07142857142857142,0.0,0.9285714285714286,16,1,1,0.005813953488372093,0.9244186046511628,0.65
1,0.07142857142857142,0.07142857142857142,0.8571428571428571,17,0,1,0.029069767441860465,0.936046511627907,0.65
1,0.07142857142857142,0.14285714285714285,0.7857142857142857,18,1,1,0.011627906976744186,0.9593023255813954,0.65
1,0.07142857142857142,0.2857142857142857,0.6428571428571429,20,2,3,0.0,0.9520958083832335,0.65
1,0.07142857142857142,0.42857142857142855,0.5,22,2,3,0.0,0.8502994011976048,0.65
1,0.07142857142857142,0.6428571428571429,0.2857142857142857,25,2,2,0.0,0.9281437125748503,0.65
1,0.07142857142857142,0.7142857142857143,0.21428571428571427,26,2,2,0.0,0.9281437125748503,0.65
1,0.07142857142857142,0.7857142857142857,0.14285714285714285,27,2,2,0.0,0.9041916167664671,0.65
1,0.07142857142857142,0.9285714285714286,0.0,28,1,2,0.005988023952095809,0.9041916167664671,0.65
1,0.14285714285714285,0.0,0.8571428571428571,29,1,2,0.005988023952095809,0.874251497005988,0.65
1,0.14285714285714285,0.07142857142857142,0.7857142857142857,30,1,2,0.011976047904191617,0.9161676646706587,0.65
