case,a2,a3,a4
1,0.0,0.0,1.0
2,0.0,0.03571428571428571,0.9642857142857143
3,0.0,0.07142857142857142,0.9285714285714286
4,0.0,0.10714285714285714,0.8928571428571429
5,0.0,0.14285714285714285,0.8571428571428571
6,0.0,0.17857142857142858,0.8214285714285714
7,0.0,0.21428571428571427,0.7857142857142857
8,0.0,0.25,0.75
9,0.0,0.2857142857142857,0.7142857142857143
10,0.0,0.32142857142857145,0.6785714285714286
11,0.0,0.35714285714285715,0.6428571428571429
12,0.0,0.39285714285714285,0.6071428571428571
13,0.0,0.42857142857142855,0.5714285714285714
14,0.0,0.4642857142857143,0.5357142857142857
15,0.0,0.5,0.5
16,0.0,0.5357142857142857,0.4642857142857143
17,0.0,0.5714285714285714,0.42857142857142855
18,0.0,0.6071428571428571,0.39285714285714285
19,0.0,0.6428571428571429,0.35714285714285715
20,0.0,0.6785714285714286,0.32142857142857145
21,0.0,0.7142857142857143,0.2857142857142857
22,0.0,0.75,0.25
23,0.0,0.7857142857142857,0.21428571428571427
24,0.0,0.8214285714285714,0.17857142857142858
25,0.0,0.8571428571428571,0.14285714285714285
26,0.0,0.8928571428571429,0.10714285714285714
27,0.0,0.9285714285714286,0.07142857142857142
28,0.0,0.9642857142857143,0.03571428571428571
29,0.0,1.0,0.0
30,0.03571428571428571,0.0,0.9642857142857143
31,0.03571428571428571,0.03571428571428571,0.9285714285714286
32,0.03571428571428571,0.07142857142857142,0.8928571428571429
33,0.03571428571428571,0.10714285714285714,0.8571428571428571
34,0.03571428571428571,0.14285714285714285,0.8214285714285714
35,0.03571428571428571,0.17857142857142858,0.7857142857142857
36,0.03571428571428571,0.21428571428571427,0.75
37,0.03571428571428571,0.25,0.7142857142857143
38,0.03571428571428571,0.2857142857142857,0.6785714285714286
39,0.03571428571428571,0.32142857142857145,0.6428571428571429
40,0.03571428571428571,0.35714285714285715,0.6071428571428571
41,0.03571428571428571,0.39285714285714285,0.5714285714285714
42,0.03571428571428571,0.42857142857142855,0.5357142857142857
43,0.03571428571428571,0.4642857142857143,0.5
44,0.03571428571428571,0.5,0.4642857142857143
45,0.03571428571428571,0.5357142857142857,0.42857142857142855
46,0.03571428571428571,0.5714285714285714,0.39285714285714285
47,0.03571428571428571,0.6071428571428571,0.35714285714285715
48,0.03571428571428571,0.6428571428571429,0.32142857142857145
49,0.03571428571428571,0.6785714285714286,0.2857142857142857
50,0.03571428571428571,0.7142857142857143,0.25
51,0.03571428571428571,0.75,0.21428571428571427
52,0.03571428571428571,0.7857142857142857,0.17857142857142858
53,0.03571428571428571,0.8214285714285714,0.14285714285714285
54,0.03571428571428571,0.8928571428571429,0.07142857142857142
55,0.03571428571428571,0.9285714285714286,0.03571428571428571
56,0.03571428571428571,0.9642857142857143,0.0
57,0.07142857142857142,0.0,0.9285714285714286
58,0.07142857142857142,0.03571428571428571,0.8928571428571429
59,0.07142857142857142,0.07142857142857142,0.8571428571428571
60,0.07142857142857142,0.10714285714285714,0.8214285714285714
61,0.07142857142857142,0.14285714285714285,0.7857142857142857
62,0.07142857142857142,0.17857142857142858,0.75
63,0.07142857142857142,0.21428571428571427,0.7142857142857143
64,0.07142857142857142,0.25,0.6785714285714286
65,0.07142857142857142,0.2857142857142857,0.6428571428571429
66,0.07142857142857142,0.32142857142857145,0.6071428571428571
67,0.07142857142857142,0.35714285714285715,0.5714285714285714
68,0.07142857142857142,0.39285714285714285,0.5357142857142857
69,0.07142857142857142,0.42857142857142855,0.5
70,0.07142857142857142,0.4642857142857143,0.4642857142857143
71,0.07142857142857142,0.5,0.42857142857142855
72,0.07142857142857142,0.5357142857142857,0.39285714285714285
73,0.07142857142857142,0.5714285714285714,0.35714285714285715
74,0.07142857142857142,0.6071428571428571,0.32142857142857145
75,0.07142857142857142,0.6428571428571429,0.2857142857142857
76,0.07142857142857142,0.6785714285714286,0.25
77,0.07142857142857142,0.7142857142857143,0.21428571428571427
78,0.07142857142857142,0.75,0.17857142857142858
79,0.07142857142857142,0.7857142857142857,0.14285714285714285
80,0.07142857142857142,0.8928571428571429,0.03571428571428571
81,0.07142857142857142,0.9285714285714286,0.0
82,0.10714285714285714,0.0,0.8928571428571429
83,0.10714285714285714,0.03571428571428571,0.8571428571428571
84,0.10714285714285714,0.07142857142857142,0.8214285714285714
85,0.10714285714285714,0.10714285714285714,0.7857142857142857
86,0.10714285714285714,0.14285714285714285,0.75
87,0.10714285714285714,0.17857142857142858,0.7142857142857143
88,0.10714285714285714,0.21428571428571427,0.6785714285714286
89,0.10714285714285714,0.25,0.6428571428571429
90,0.10714285714285714,0.2857142857142857,0.6071428571428571
91,0.10714285714285714,0.32142857142857145,0.5714285714285714
92,0.10714285714285714,0.35714285714285715,0.5357142857142857
93,0.10714285714285714,0.39285714285714285,0.5
94,0.10714285714285714,0.42857142857142855,0.4642857142857143
95,0.10714285714285714,0.4642857142857143,0.42857142857142855
96,0.10714285714285714,0.5,0.39285714285714285
97,0.10714285714285714,0.5357142857142857,0.35714285714285715
98,0.10714285714285714,0.5714285714285714,0.32142857142857145
99,0.10714285714285714,0.6428571428571429,0.25
100,0.10714285714285714,0.6785714285714286,0.21428571428571427
101,0.10714285714285714,0.7142857142857143,0.17857142857142858
